Time in ms, Reflection, Error, Distance in mm, Command
217, 45, 15, 0, 2
440, 45, 15, 9, 2
670, 40, 10, 21, 2
884, 33, 3, 32, 2
1108, 23, -7, 43, -2
1326, 19, -11, 54, -2
1536, 18, -12, 65, -2
1757, 17, -13, 76, -2
1975, 15, -15, 86, -2
2196, 14, -16, 97, -2
2409, 13, -17, 108, -2
2630, 14, -16, 119, -2
2835, 14, -16, 129, -2
3050, 13, -17, 140, -2
3267, 14, -16, 151, -2
3479, 15, -15, 162, -2
3706, 16, -14, 173, -2
3921, 18, -12, 184, -2
4124, 18, -12, 194, -2
4344, 18, -12, 205, -2
4550, 21, -9, 215, -2
4774, 27, -3, 226, -2
4998, 33, 3, 238, 2
5217, 33, 3, 249, 2
5434, 31, 1, 259, 2
5658, 26, -4, 270, -2
5874, 24, -6, 281, -2
6093, 28, -2, 292, -2
6316, 34, 4, 303, 2
6534, 34, 4, 314, 2
6760, 32, 2, 326, 2
6984, 29, -1, 337, -2
7224, 28, -2, 349, -2
7435, 31, 1, 359, 2
7639, 31, 1, 370, 2
7871, 25, -5, 381, -2
8085, 25, -5, 392, -2
8302, 27, -3, 403, -2
8508, 31, 1, 413, 2
8730, 28, -2, 424, -2
8961, 28, -2, 436, -2
9182, 35, 5, 447, 2
9398, 34, 4, 457, 2
9629, 28, -2, 469, -2
9845, 28, -2, 480, -2
10064, 30, 0, 491, 0
10284, 35, 5, 502, 2
10514, 36, 6, 513, 2
10749, 32, 2, 525, 2
10973, 28, -2, 536, -2
11188, 27, -3, 547, -2
11412, 28, -2, 558, -2
11645, 31, 1, 570, 2
11863, 32, 2, 581, 2
12083, 30, 0, 592, 0
12298, 27, -3, 602, -2
12515, 29, -1, 614, -2
12745, 32, 2, 625, 2
12961, 32, 2, 636, 2
13173, 27, -3, 646, -2
13388, 27, -3, 657, -2
13608, 31, 1, 668, 2
13834, 31, 1, 679, 2
14043, 27, -3, 690, -2
14263, 27, -3, 701, -2
14493, 29, -1, 712, -2
14710, 32, 2, 723, 2
14923, 33, 3, 734, 2
15165, 30, 0, 746, 0
15377, 29, -1, 756, -2
15590, 32, 2, 767, 2
15798, 31, 1, 778, 2
16013, 20, -10, 788, -2
16233, 20, -10, 799, -2
16453, 20, -10, 810, -2
16680, 28, -2, 822, -2
16903, 34, 4, 833, 2
17123, 35, 5, 844, 2
17338, 34, 4, 855, 2
17550, 29, -1, 865, -2
17757, 29, -1, 875, -2
17958, 32, 2, 885, 2
18170, 31, 1, 896, 2
18390, 27, -3, 907, -2
18621, 27, -3, 919, -2
18841, 30, 0, 930, 0
19050, 33, 3, 940, 2
19268, 33, 3, 951, 2
19484, 28, -2, 962, -2
19714, 29, -1, 973, -2
19928, 33, 3, 984, 2
20144, 30, 0, 995, 0
20369, 31, 1, 1006, 2
