Time in ms, Reflection, Error, Distance in mm, Command
234, 33, 3, 0, 2
444, 18, -12, 9, -2
659, 13, -17, 20, -2
874, 10, -20, 31, -2
1096, 9, -21, 42, -2
1315, 7, -23, 53, -2
1529, 6, -24, 63, -2
1744, 7, -23, 74, -2
1964, 7, -23, 85, -2
2194, 7, -23, 97, -2
2414, 11, -19, 108, -2
2631, 15, -15, 119, -2
2854, 21, -9, 130, -2
3074, 45, 15, 141, 2
3292, 56, 26, 152, 2
3523, 58, 28, 163, 2
3725, 60, 30, 173, 2
3932, 63, 33, 183, 2
4146, 67, 37, 194, 2
4375, 70, 40, 206, 2
4589, 68, 38, 216, 2
4818, 61, 31, 228, 2
5028, 59, 29, 238, 2
5244, 58, 28, 249, 2
5465, 58, 28, 260, 2
5671, 59, 29, 270, 2
5896, 61, 31, 282, 2
6118, 59, 29, 293, 2
6338, 57, 27, 304, 2
6561, 58, 28, 315, 2
6784, 58, 28, 326, 2
6994, 60, 30, 337, 2
7215, 62, 32, 348, 2
7434, 48, 18, 359, 2
7653, 8, -22, 370, -2
7871, 6, -24, 380, -2
8081, 6, -24, 391, -2
8291, 6, -24, 402, -2
8504, 7, -23, 412, -2
8718, 7, -23, 423, -2
8942, 7, -23, 434, -2
9153, 7, -23, 445, -2
9375, 8, -22, 456, -2
9603, 8, -22, 467, -2
9835, 8, -22, 479, -2
10055, 9, -21, 490, -2
10274, 8, -22, 501, -2
10506, 6, -24, 512, -2
10731, 7, -23, 524, -2
10955, 7, -23, 535, -2
11163, 7, -23, 545, -2
11384, 6, -24, 556, -2
11593, 6, -24, 567, -2
11803, 7, -23, 577, -2
12023, 7, -23, 588, -2
12247, 7, -23, 599, -2
12463, 8, -22, 610, -2
12687, 7, -23, 621, -2
12906, 7, -23, 633, -2
13134, 7, -23, 644, -2
13360, 7, -23, 655, -2
13578, 7, -23, 666, -2
13796, 6, -24, 677, -2
14022, 7, -23, 688, -2
14253, 7, -23, 700, -2
14479, 8, -22, 711, -2
14704, 8, -22, 722, -2
14927, 7, -23, 733, -2
15143, 7, -23, 744, -2
15367, 7, -23, 755, -2
15591, 7, -23, 767, -2
15818, 7, -23, 778, -2
16054, 7, -23, 790, -2
16286, 7, -23, 801, -2
16503, 8, -22, 812, -2
16718, 7, -23, 823, -2
16938, 7, -23, 834, -2
17154, 6, -24, 845, -2
17378, 7, -23, 856, -2
17593, 7, -23, 867, -2
17797, 7, -23, 877, -2
18002, 7, -23, 887, -2
18230, 8, -22, 898, -2
18440, 7, -23, 909, -2
18680, 6, -24, 921, -2
18898, 7, -23, 932, -2
19112, 7, -23, 942, -2
19327, 8, -22, 953, -2
19544, 7, -23, 964, -2
19762, 6, -24, 975, -2
19992, 8, -22, 987, -2
20216, 7, -23, 998, -2
20422, 8, -22, 1008, -2
