Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
253, 64, 34, 0, 51.0, 1.2, 0.2, 0.01
478, 11, -19, 18, -25.1, 1.2, 0.2, 0.01
704, 11, -19, 41, -23.6, 1.2, 0.2, 0.01
918, 33, 3, 62, 5.6, 1.2, 0.2, 0.01
1146, 59, 29, 85, 43.0, 1.2, 0.2, 0.01
1367, 14, -16, 107, -21.3, 1.2, 0.2, 0.01
1590, 14, -16, 129, -20.0, 1.2, 0.2, 0.01
1822, 68, 38, 153, 57.80000000000001, 1.2, 0.2, 0.01
2046, 62, 32, 175, 51.00000000000001, 1.2, 0.2, 0.01
2247, 13, -17, 195, -15.5, 1.2, 0.2, 0.01
2450, 11, -19, 215, -17.0, 1.2, 0.2, 0.01
2664, 68, 38, 237, 64.90000000000001, 1.2, 0.2, 0.01
2887, 52, 22, 259, 42.8, 1.2, 0.2, 0.01
3120, 5, -25, 282, -21.7, 1.2, 0.2, 0.01
3332, 10, -20, 304, -14.5, 1.2, 0.2, 0.01
3557, 57, 27, 326, 51.5, 1.2, 0.2, 0.01
3777, 71, 41, 348, 73.2, 1.2, 0.2, 0.01
4009, 8, -22, 371, -14.5, 1.2, 0.2, 0.01
4241, 7, -23, 394, -14.1, 1.2, 0.2, 0.01
4481, 29, -1, 418, 14.4, 1.2, 0.2, 0.01
4713, 68, 38, 442, 70.50000000000001, 1.2, 0.2, 0.01
4954, 70, 40, 466, 77.20000000000001, 1.2, 0.2, 0.01
5171, 18, -12, 487, 7.000000000000003, 1.2, 0.2, 0.01
5396, 8, -22, 510, -5.199999999999996, 1.2, 0.2, 0.01
5629, 9, -21, 533, -7.1, 1.2, 0.2, 0.01
5847, 9, -21, 555, -11.4, 1.2, 0.2, 0.01
6067, 15, -15, 577, -6.6, 1.2, 0.2, 0.01
6307, 36, 6, 601, 21.3, 1.2, 0.2, 0.01
6542, 31, 1, 624, 12.9, 1.2, 0.2, 0.01
6792, 14, -16, 650, -11.9, 1.2, 0.2, 0.01
7031, 18, -12, 673, -7.399999999999998, 1.2, 0.2, 0.01
7262, 36, 6, 696, 16.8, 1.2, 0.2, 0.01
7526, 21, -9, 723, -6.299999999999999, 1.2, 0.2, 0.01
7735, 17, -13, 744, -12.6, 1.2, 0.2, 0.01
7962, 38, 8, 767, 16.7, 1.2, 0.2, 0.01
8202, 30, 0, 791, 4.2, 1.2, 0.2, 0.01
8426, 16, -14, 813, -16.0, 1.2, 0.2, 0.01
8642, 34, 4, 835, 9.6, 1.2, 0.2, 0.01
8869, 35, 5, 857, 10.1, 1.2, 0.2, 0.01
9086, 23, -7, 879, -7.000000000000001, 1.2, 0.2, 0.01
9295, 62, 32, 900, 51.3, 1.2, 0.2, 0.01
9513, 52, 22, 922, 38.8, 1.2, 0.2, 0.01
9747, 11, -19, 945, -17.3, 1.2, 0.2, 0.01
9977, 20, -10, 968, -3.5, 1.2, 0.2, 0.01
10193, 72, 42, 990, 71.60000000000001, 1.2, 0.2, 0.01
10419, 74, 44, 1013, 77.8, 1.2, 0.2, 0.01
10652, 10, -20, 1036, -9.6, 1.2, 0.2, 0.01
10883, 9, -21, 1059, -8.699999999999998, 1.2, 0.2, 0.01
11115, 10, -20, 1082, -11.3, 1.2, 0.2, 0.01
11352, 57, 27, 1106, 55.10000000000001, 1.2, 0.2, 0.01
11578, 58, 28, 1128, 57.3, 1.2, 0.2, 0.01
11801, 9, -21, 1151, -10.7, 1.2, 0.2, 0.01
12025, 10, -20, 1173, -8.5, 1.2, 0.2, 0.01
12255, 21, -9, 1196, 3.900000000000002, 1.2, 0.2, 0.01
12483, 67, 37, 1219, 70.0, 1.2, 0.2, 0.01
12705, 37, 7, 1241, 27.80000000000001, 1.2, 0.2, 0.01
12926, 8, -22, 1263, -11.3, 1.2, 0.2, 0.01
13161, 11, -19, 1286, -8.299999999999999, 1.2, 0.2, 0.01
13375, 43, 13, 1308, 35.6, 1.2, 0.2, 0.01
13598, 40, 10, 1330, 30.5, 1.2, 0.2, 0.01
13823, 14, -16, 1353, -6.199999999999998, 1.2, 0.2, 0.01
14065, 19, -11, 1377, 0.7000000000000011, 1.2, 0.2, 0.01
14308, 65, 35, 1401, 67.0, 1.2, 0.2, 0.01
14520, 25, -5, 1423, 9.400000000000002, 1.2, 0.2, 0.01
14748, 9, -21, 1445, -11.6, 1.2, 0.2, 0.01
14975, 28, -2, 1468, 14.3, 1.2, 0.2, 0.01
15205, 57, 27, 1491, 55.50000000000001, 1.2, 0.2, 0.01
15435, 11, -19, 1514, -11.0, 1.2, 0.2, 0.01
15649, 7, -23, 1535, -16.2, 1.2, 0.2, 0.01
15890, 50, 20, 1559, 44.09999999999999, 1.2, 0.2, 0.01
16111, 54, 24, 1582, 49.8, 1.2, 0.2, 0.01
16356, 9, -21, 1606, -13.3, 1.2, 0.2, 0.01
16576, 17, -13, 1628, -1.0, 1.2, 0.2, 0.01
16809, 50, 20, 1651, 45.1, 1.2, 0.2, 0.01
17025, 24, -6, 1673, 6.800000000000002, 1.2, 0.2, 0.01
17245, 9, -21, 1695, -14.3, 1.2, 0.2, 0.01
17475, 12, -18, 1718, -12.5, 1.2, 0.2, 0.01
17679, 26, -4, 1738, 4.600000000000001, 1.2, 0.2, 0.01
17906, 45, 15, 1761, 30.9, 1.2, 0.2, 0.01
18146, 8, -22, 1785, -23.5, 1.2, 0.2, 0.01
18375, 9, -21, 1808, -22.7, 1.2, 0.2, 0.01
