Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
275, 45, 15, 0, 22.5, 1.2, 0.2, 0.01
509, 34, 4, 19, 7.5, 1.2, 0.2, 0.01
736, 7, -23, 41, -31.1, 1.2, 0.2, 0.01
962, 16, -14, 64, -19.5, 1.2, 0.2, 0.01
1188, 45, 15, 86, 20.3, 1.2, 0.2, 0.01
1421, 45, 15, 110, 20.4, 1.2, 0.2, 0.01
1654, 28, -2, 133, -2.1, 1.2, 0.2, 0.01
1882, 36, 6, 156, 11.2, 1.2, 0.2, 0.01
2105, 50, 20, 178, 32.6, 1.2, 0.2, 0.01
2336, 54, 24, 201, 41.2, 1.2, 0.2, 0.01
2570, 7, -23, 225, -24.9, 1.2, 0.2, 0.01
2798, 7, -23, 248, -24.8, 1.2, 0.2, 0.01
3014, 9, -21, 269, -26.4, 1.2, 0.2, 0.01
3249, 26, -4, 293, -5.3, 1.2, 0.2, 0.01
3477, 18, -12, 316, -19.8, 1.2, 0.2, 0.01
3698, 13, -17, 338, -28.9, 1.2, 0.2, 0.01
3918, 24, -6, 360, -15.3, 1.2, 0.2, 0.01
4139, 21, -9, 382, -22.1, 1.2, 0.2, 0.01
4366, 13, -17, 404, -35.6, 1.2, 0.2, 0.01
4595, 34, 4, 427, -6.700000000000001, 1.2, 0.2, 0.01
4827, 35, 5, 451, -6.500000000000002, 1.2, 0.2, 0.01
5055, 28, -2, 473, -16.1, 1.2, 0.2, 0.01
5289, 60, 30, 497, 32.20000000000001, 1.2, 0.2, 0.01
5509, 55, 25, 519, 27.5, 1.2, 0.2, 0.01
5740, 28, -2, 533, -7.500000000000001, 1.2, 0.2, 0.01
5987, 30, 0, 534, -2.2, 1.2, 0.2, 0.01
6220, 31, 1, 534, -0.9000000000000002, 1.2, 0.2, 0.01
6435, 31, 1, 534, -0.8, 1.2, 0.2, 0.01
6657, 31, 1, 534, -0.6000000000000001, 1.2, 0.2, 0.01
6883, 31, 1, 534, -0.4000000000000002, 1.2, 0.2, 0.01
7107, 31, 1, 534, -0.2000000000000002, 1.2, 0.2, 0.01
7326, 31, 1, 534, -2.220446049250313e-16, 1.2, 0.2, 0.01
7550, 31, 1, 534, 0.2, 1.2, 0.2, 0.01
7777, 31, 1, 534, 0.3999999999999999, 1.2, 0.2, 0.01
8004, 31, 1, 534, 0.5999999999999998, 1.2, 0.2, 0.01
8223, 31, 1, 534, 0.7999999999999999, 1.2, 0.2, 0.01
8465, 31, 1, 534, 1.0, 1.2, 0.2, 0.01
8687, 31, 1, 534, 1.2, 1.2, 0.2, 0.01
8899, 31, 1, 534, 1.4, 1.2, 0.2, 0.01
9131, 31, 1, 534, 1.6, 1.2, 0.2, 0.01
9355, 31, 1, 534, 1.8, 1.2, 0.2, 0.01
9566, 31, 1, 534, 2.0, 1.2, 0.2, 0.01
9797, 31, 1, 534, 2.2, 1.2, 0.2, 0.01
10018, 31, 1, 534, 2.4, 1.2, 0.2, 0.01
10254, 31, 1, 534, 2.6, 1.2, 0.2, 0.01
10484, 31, 1, 534, 2.8, 1.2, 0.2, 0.01
10704, 31, 1, 534, 3.0, 1.2, 0.2, 0.01
10925, 31, 1, 534, 3.2, 1.2, 0.2, 0.01
11152, 31, 1, 534, 3.4, 1.2, 0.2, 0.01
11374, 31, 1, 534, 3.600000000000001, 1.2, 0.2, 0.01
11609, 31, 1, 534, 3.8, 1.2, 0.2, 0.01
11827, 31, 1, 534, 4.0, 1.2, 0.2, 0.01
12066, 31, 1, 534, 4.2, 1.2, 0.2, 0.01
12284, 31, 1, 534, 4.4, 1.2, 0.2, 0.01
12504, 31, 1, 534, 4.600000000000001, 1.2, 0.2, 0.01
12724, 31, 1, 534, 4.8, 1.2, 0.2, 0.01
12956, 31, 1, 534, 5.0, 1.2, 0.2, 0.01
13181, 31, 1, 534, 5.2, 1.2, 0.2, 0.01
13392, 31, 1, 534, 5.4, 1.2, 0.2, 0.01
13619, 31, 1, 534, 5.600000000000001, 1.2, 0.2, 0.01
13832, 31, 1, 534, 5.800000000000001, 1.2, 0.2, 0.01
14058, 30, 0, 534, 4.500000000000001, 1.2, 0.2, 0.01
14283, 31, 1, 534, 6.100000000000001, 1.2, 0.2, 0.01
14511, 31, 1, 534, 6.2, 1.2, 0.2, 0.01
14724, 31, 1, 534, 6.4, 1.2, 0.2, 0.01
14952, 30, 0, 534, 5.100000000000001, 1.2, 0.2, 0.01
15182, 31, 1, 534, 6.7, 1.2, 0.2, 0.01
15406, 31, 1, 534, 6.800000000000001, 1.2, 0.2, 0.01
15626, 31, 1, 534, 7.000000000000001, 1.2, 0.2, 0.01
15862, 31, 1, 534, 7.2, 1.2, 0.2, 0.01
16092, 31, 1, 534, 7.4, 1.2, 0.2, 0.01
16333, 31, 1, 534, 7.600000000000001, 1.2, 0.2, 0.01
16553, 31, 1, 534, 7.800000000000001, 1.2, 0.2, 0.01
16773, 30, 0, 534, 6.500000000000001, 1.2, 0.2, 0.01
17000, 31, 1, 534, 8.1, 1.2, 0.2, 0.01
17224, 31, 1, 534, 8.199999999999999, 1.2, 0.2, 0.01
17466, 31, 1, 534, 8.4, 1.2, 0.2, 0.01
17684, 31, 1, 534, 8.6, 1.2, 0.2, 0.01
17910, 31, 1, 534, 8.800000000000001, 1.2, 0.2, 0.01
18151, 30, 0, 534, 7.500000000000001, 1.2, 0.2, 0.01
18372, 31, 1, 534, 9.1, 1.2, 0.2, 0.01
18589, 31, 1, 534, 9.199999999999999, 1.2, 0.2, 0.01
18812, 31, 1, 534, 9.4, 1.2, 0.2, 0.01
19041, 31, 1, 534, 9.6, 1.2, 0.2, 0.01
19262, 30, 0, 534, 8.300000000000001, 1.2, 0.2, 0.01
19484, 31, 1, 534, 9.899999999999999, 1.2, 0.2, 0.01
19719, 30, 0, 534, 8.5, 1.2, 0.2, 0.01
19950, 31, 1, 534, 10.1, 1.2, 0.2, 0.01
20174, 31, 1, 534, 10.2, 1.2, 0.2, 0.01
20382, 31, 1, 534, 10.4, 1.2, 0.2, 0.01
20606, 31, 1, 534, 10.6, 1.2, 0.2, 0.01
20823, 31, 1, 534, 10.8, 1.2, 0.2, 0.01
21055, 31, 1, 534, 11.0, 1.2, 0.2, 0.01
21293, 31, 1, 534, 11.2, 1.2, 0.2, 0.01
21529, 30, 0, 534, 9.9, 1.2, 0.2, 0.01
21744, 31, 1, 534, 11.5, 1.2, 0.2, 0.01
21973, 31, 1, 534, 11.6, 1.2, 0.2, 0.01
22186, 31, 1, 534, 11.8, 1.2, 0.2, 0.01
22422, 31, 1, 534, 12.0, 1.2, 0.2, 0.01
22635, 31, 1, 534, 12.2, 1.2, 0.2, 0.01
22851, 31, 1, 534, 12.4, 1.2, 0.2, 0.01
23076, 31, 1, 534, 12.6, 1.2, 0.2, 0.01
23299, 31, 1, 534, 12.8, 1.2, 0.2, 0.01
23521, 31, 1, 534, 13.0, 1.2, 0.2, 0.01
23755, 30, 0, 534, 11.7, 1.2, 0.2, 0.01
23969, 31, 1, 534, 13.3, 1.2, 0.2, 0.01
24188, 31, 1, 534, 13.4, 1.2, 0.2, 0.01
24425, 31, 1, 534, 13.6, 1.2, 0.2, 0.01
24648, 31, 1, 534, 13.8, 1.2, 0.2, 0.01
24878, 31, 1, 534, 14.0, 1.2, 0.2, 0.01
25093, 31, 1, 534, 14.2, 1.2, 0.2, 0.01
25310, 31, 1, 534, 14.4, 1.2, 0.2, 0.01
25547, 30, 0, 534, 13.1, 1.2, 0.2, 0.01
25768, 31, 1, 534, 14.7, 1.2, 0.2, 0.01
25996, 30, 0, 534, 13.3, 1.2, 0.2, 0.01
26228, 31, 1, 534, 14.9, 1.2, 0.2, 0.01
26458, 31, 1, 534, 15.0, 1.2, 0.2, 0.01
26683, 31, 1, 534, 15.2, 1.2, 0.2, 0.01
26901, 31, 1, 534, 15.4, 1.2, 0.2, 0.01
27121, 31, 1, 534, 15.6, 1.2, 0.2, 0.01
27353, 31, 1, 534, 15.8, 1.2, 0.2, 0.01
27571, 30, 0, 534, 14.5, 1.2, 0.2, 0.01
27798, 31, 1, 534, 16.1, 1.2, 0.2, 0.01
28027, 31, 1, 534, 16.2, 1.2, 0.2, 0.01
28256, 31, 1, 534, 16.4, 1.2, 0.2, 0.01
28463, 31, 1, 534, 16.6, 1.2, 0.2, 0.01
28683, 31, 1, 534, 16.8, 1.2, 0.2, 0.01
28900, 31, 1, 534, 17.0, 1.2, 0.2, 0.01
29128, 31, 1, 534, 17.2, 1.2, 0.2, 0.01
29350, 31, 1, 534, 17.4, 1.2, 0.2, 0.01
29567, 31, 1, 534, 17.6, 1.2, 0.2, 0.01
29783, 31, 1, 534, 17.8, 1.2, 0.2, 0.01
30008, 31, 1, 534, 18.0, 1.2, 0.2, 0.01
30218, 31, 1, 534, 18.2, 1.2, 0.2, 0.01
30451, 31, 1, 534, 18.4, 1.2, 0.2, 0.01
30678, 31, 1, 534, 18.6, 1.2, 0.2, 0.01
30915, 30, 0, 534, 17.3, 1.2, 0.2, 0.01
31128, 31, 1, 534, 18.9, 1.2, 0.2, 0.01
31346, 31, 1, 534, 19.0, 1.2, 0.2, 0.01
31578, 31, 1, 534, 19.2, 1.2, 0.2, 0.01
31820, 31, 1, 534, 19.4, 1.2, 0.2, 0.01
32061, 31, 1, 534, 19.6, 1.2, 0.2, 0.01
