Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
198, 45, 15, 0, 22.5, 1.2, 0.2, 0.01
405, 38, 8, 16, 13.5, 1.2, 0.2, 0.01
621, 8, -22, 37, -29.2, 1.2, 0.2, 0.01
838, 13, -17, 59, -23.1, 1.2, 0.2, 0.01
1052, 51, 21, 80, 30.0, 1.2, 0.2, 0.01
1268, 64, 34, 102, 49.89999999999999, 1.2, 0.2, 0.01
1488, 29, -1, 124, 2.9, 1.2, 0.2, 0.01
1700, 15, -15, 145, -14.8, 1.2, 0.2, 0.01
1912, 58, 28, 166, 48.1, 1.2, 0.2, 0.01
2125, 31, 1, 188, 8.899999999999999, 1.2, 0.2, 0.01
2337, 7, -23, 209, -24.2, 1.2, 0.2, 0.01
2546, 6, -24, 230, -27.9, 1.2, 0.2, 0.01
2762, 6, -24, 251, -32.6, 1.2, 0.2, 0.01
2968, 15, -15, 272, -23.9, 1.2, 0.2, 0.01
3190, 33, 3, 294, -0.8000000000000005, 1.2, 0.2, 0.01
3401, 13, -17, 315, -32.0, 1.2, 0.2, 0.01
3622, 12, -18, 337, -34.9, 1.2, 0.2, 0.01
3831, 34, 4, 358, -5.4, 1.2, 0.2, 0.01
4050, 18, -12, 380, -30.8, 1.2, 0.2, 0.01
4274, 31, 1, 403, -12.1, 1.2, 0.2, 0.01
4498, 55, 25, 425, 22.8, 1.2, 0.2, 0.01
4710, 28, -2, 446, -15.1, 1.2, 0.2, 0.01
4922, 40, 10, 467, 5.2, 1.2, 0.2, 0.01
5138, 63, 33, 489, 40.5, 1.2, 0.2, 0.01
5350, 39, 9, 510, 8.799999999999999, 1.2, 0.2, 0.01
5567, 36, 6, 532, 8.499999999999998, 1.2, 0.2, 0.01
5795, 54, 24, 555, 36.99999999999999, 1.2, 0.2, 0.01
6025, 48, 18, 578, 31.0, 1.2, 0.2, 0.01
6247, 47, 17, 600, 33.7, 1.2, 0.2, 0.01
6469, 41, 11, 622, 28.2, 1.2, 0.2, 0.01
6677, 21, -9, 643, 1.000000000000002, 1.2, 0.2, 0.01
6888, 7, -23, 664, -19.8, 1.2, 0.2, 0.01
7107, 8, -22, 686, -21.5, 1.2, 0.2, 0.01
7321, 8, -22, 707, -26.0, 1.2, 0.2, 0.01
7527, 27, -3, 728, -1.9, 1.2, 0.2, 0.01
7754, 16, -14, 751, -20.9, 1.2, 0.2, 0.01
7971, 11, -19, 772, -30.1, 1.2, 0.2, 0.01
8177, 23, -7, 793, -15.4, 1.2, 0.2, 0.01
8390, 22, -8, 814, -19.5, 1.2, 0.2, 0.01
8615, 27, -3, 837, -13.5, 1.2, 0.2, 0.01
8820, 36, 6, 857, -1.100000000000002, 1.2, 0.2, 0.01
9045, 43, 13, 880, 9.699999999999999, 1.2, 0.2, 0.01
9262, 41, 11, 901, 8.6, 1.2, 0.2, 0.01
9477, 38, 8, 923, 6.499999999999999, 1.2, 0.2, 0.01
9702, 44, 14, 946, 17.4, 1.2, 0.2, 0.01
9931, 13, -17, 968, -26.9, 1.2, 0.2, 0.01
10147, 8, -22, 990, -34.70000000000001, 1.2, 0.2, 0.01
10377, 32, 2, 1013, -2.6, 1.2, 0.2, 0.01
10586, 36, 6, 1034, 1.399999999999999, 1.2, 0.2, 0.01
10798, 27, -3, 1055, -11.3, 1.2, 0.2, 0.01
11024, 45, 15, 1078, 16.0, 1.2, 0.2, 0.01
11238, 55, 25, 1099, 32.20000000000001, 1.2, 0.2, 0.01
