Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
240, 48, 18, 0, 23.4, 1.2, 0.1, 0.8
471, 11, -19, 19, -22.9, 1.2, 0.1, 0.8
683, 9, -21, 40, -27.4, 1.2, 0.1, 0.8
917, 43, 13, 63, 14.7, 1.2, 0.1, 0.8
1153, 44, 14, 87, 17.3, 1.2, 0.1, 0.8
1387, 28, -2, 110, -2.1, 1.2, 0.1, 0.8
1613, 39, 9, 133, 12.0, 1.2, 0.1, 0.8
1826, 49, 19, 154, 25.9, 1.2, 0.1, 0.8
2057, 57, 27, 177, 38.2, 1.2, 0.1, 0.8
2287, 31, 1, 200, 7.100000000000001, 1.2, 0.1, 0.8
2512, 8, -22, 223, -22.7, 1.2, 0.1, 0.8
2730, 11, -19, 245, -21.0, 1.2, 0.1, 0.8
2960, 22, -8, 268, -8.6, 1.2, 0.1, 0.8
3182, 21, -9, 290, -10.7, 1.2, 0.1, 0.8
3406, 9, -21, 312, -27.2, 1.2, 0.1, 0.8
3630, 9, -21, 335, -29.3, 1.2, 0.1, 0.8
3877, 13, -17, 359, -26.2, 1.2, 0.1, 0.8
4106, 25, -5, 382, -12.3, 1.2, 0.1, 0.8
4319, 12, -18, 404, -29.7, 1.2, 0.1, 0.8
4542, 22, -8, 426, -18.5, 1.2, 0.1, 0.8
4771, 50, 20, 449, 17.1, 1.2, 0.1, 0.8
5003, 34, 4, 472, -1.7, 1.2, 0.1, 0.8
5220, 23, -7, 494, -15.6, 1.2, 0.1, 0.8
5437, 63, 33, 515, 35.7, 1.2, 0.1, 0.8
5676, 67, 37, 539, 44.2, 1.2, 0.1, 0.8
5922, 17, -13, 564, -17.1, 1.2, 0.1, 0.8
6139, 31, 1, 586, -0.2000000000000002, 1.2, 0.1, 0.8
6374, 58, 28, 609, 35.0, 1.2, 0.1, 0.8
6603, 58, 28, 632, 37.80000000000001, 1.2, 0.1, 0.8
6824, 61, 31, 654, 44.5, 1.2, 0.1, 0.8
7049, 46, 16, 677, 28.1, 1.2, 0.1, 0.8
7285, 7, -23, 700, -21.0, 1.2, 0.1, 0.8
7511, 7, -23, 723, -23.3, 1.2, 0.1, 0.8
7729, 6, -24, 745, -26.9, 1.2, 0.1, 0.8
7949, 7, -23, 766, -28.0, 1.2, 0.1, 0.8
8189, 7, -23, 791, -30.3, 1.2, 0.1, 0.8
8413, 8, -22, 813, -31.3, 1.2, 0.1, 0.8
8645, 36, 6, 836, 2.899999999999999, 1.2, 0.1, 0.8
8882, 21, -9, 860, -16.0, 1.2, 0.1, 0.8
9102, 14, -16, 882, -26.0, 1.2, 0.1, 0.8
9332, 47, 17, 905, 15.3, 1.2, 0.1, 0.8
9586, 50, 20, 930, 20.9, 1.2, 0.1, 0.8
9808, 34, 4, 953, 2.1, 1.2, 0.1, 0.8
10032, 40, 10, 975, 10.3, 1.2, 0.1, 0.8
10269, 27, -3, 999, -5.6, 1.2, 0.1, 0.8
