Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
248, 26, -4, 0, -5.6, 1.2, 0.2, 0.8
471, 25, -5, 18, -7.8, 1.2, 0.2, 0.8
701, 45, 15, 41, 19.2, 1.2, 0.2, 0.8
928, 53, 23, 64, 33.4, 1.2, 0.2, 0.8
1160, 20, -10, 87, -8.199999999999999, 1.2, 0.2, 0.8
1395, 18, -12, 110, -13.0, 1.2, 0.2, 0.8
1624, 78, 48, 133, 68.59999999999999, 1.2, 0.2, 0.8
1847, 71, 41, 156, 68.40000000000001, 1.2, 0.2, 0.8
2061, 10, -20, 177, -8.799999999999999, 1.2, 0.2, 0.8
2280, 11, -19, 198, -11.4, 1.2, 0.2, 0.8
2503, 10, -20, 221, -16.6, 1.2, 0.2, 0.8
2730, 9, -21, 244, -22.0, 1.2, 0.2, 0.8
2959, 12, -18, 267, -22.0, 1.2, 0.2, 0.8
3185, 62, 32, 289, 44.4, 1.2, 0.2, 0.8
3431, 68, 38, 314, 59.20000000000001, 1.2, 0.2, 0.8
3657, 77, 47, 336, 79.40000000000001, 1.2, 0.2, 0.8
3890, 8, -22, 360, -7.799999999999997, 1.2, 0.2, 0.8
4110, 5, -25, 382, -16.4, 1.2, 0.2, 0.8
4310, 6, -24, 402, -20.0, 1.2, 0.2, 0.8
4539, 9, -21, 425, -20.6, 1.2, 0.2, 0.8
4762, 9, -21, 447, -24.8, 1.2, 0.2, 0.8
4985, 71, 41, 469, 57.8, 1.2, 0.2, 0.8
5210, 67, 37, 492, 60.4, 1.2, 0.2, 0.8
5446, 73, 43, 516, 76.20000000000001, 1.2, 0.2, 0.8
5690, 8, -22, 540, -6.199999999999996, 1.2, 0.2, 0.8
5920, 8, -22, 563, -10.6, 1.2, 0.2, 0.8
6149, 10, -20, 586, -12.2, 1.2, 0.2, 0.8
6373, 10, -20, 608, -16.2, 1.2, 0.2, 0.8
6599, 16, -14, 630, -11.8, 1.2, 0.2, 0.8
6829, 51, 21, 654, 34.4, 1.2, 0.2, 0.8
7059, 72, 42, 677, 68.00000000000001, 1.2, 0.2, 0.8
7284, 9, -21, 699, -11.8, 1.2, 0.2, 0.8
7510, 8, -22, 722, -17.4, 1.2, 0.2, 0.8
7745, 7, -23, 745, -23.2, 1.2, 0.2, 0.8
7977, 14, -16, 768, -18.0, 1.2, 0.2, 0.8
8200, 11, -19, 791, -25.4, 1.2, 0.2, 0.8
8430, 30, 0, 814, -2.6, 1.2, 0.2, 0.8
8655, 75, 45, 836, 60.4, 1.2, 0.2, 0.8
8872, 21, -9, 858, -6.199999999999998, 1.2, 0.2, 0.8
9095, 7, -23, 880, -27.6, 1.2, 0.2, 0.8
9324, 36, 6, 903, 8.399999999999999, 1.2, 0.2, 0.8
9549, 53, 23, 926, 33.4, 1.2, 0.2, 0.8
9778, 30, 0, 949, 5.800000000000001, 1.2, 0.2, 0.8
9989, 36, 6, 970, 14.2, 1.2, 0.2, 0.8
10218, 10, -20, 992, -21.0, 1.2, 0.2, 0.8
10440, 10, -20, 1015, -25.0, 1.2, 0.2, 0.8
10654, 8, -22, 1037, -31.8, 1.2, 0.2, 0.8
10876, 13, -17, 1058, -29.2, 1.2, 0.2, 0.8
11102, 31, 1, 1081, -7.399999999999999, 1.2, 0.2, 0.8
11332, 32, 2, 1104, -5.800000000000001, 1.2, 0.2, 0.8
11552, 67, 37, 1126, 43.6, 1.2, 0.2, 0.8
11784, 72, 42, 1149, 58.00000000000001, 1.2, 0.2, 0.8
12019, 74, 44, 1173, 69.20000000000001, 1.2, 0.2, 0.8
12234, 11, -19, 1194, -10.2, 1.2, 0.2, 0.8
12468, 11, -19, 1218, -14.0, 1.2, 0.2, 0.8
12695, 10, -20, 1241, -19.2, 1.2, 0.2, 0.8
12924, 8, -22, 1263, -26.0, 1.2, 0.2, 0.8
13148, 6, -24, 1286, -33.2, 1.2, 0.2, 0.8
13368, 9, -21, 1308, -33.8, 1.2, 0.2, 0.8
13579, 9, -21, 1329, -38.0, 1.2, 0.2, 0.8
13808, 10, -20, 1352, -40.8, 1.2, 0.2, 0.8
14028, 74, 44, 1374, 44.8, 1.2, 0.2, 0.8
14244, 76, 46, 1396, 56.40000000000001, 1.2, 0.2, 0.8
14468, 51, 21, 1418, 30.6, 1.2, 0.2, 0.8
14692, 8, -22, 1440, -25.4, 1.2, 0.2, 0.8
14915, 9, -21, 1462, -28.4, 1.2, 0.2, 0.8
15146, 49, 19, 1486, 23.4, 1.2, 0.2, 0.8
15379, 46, 16, 1509, 23.0, 1.2, 0.2, 0.8
15605, 9, -21, 1531, -25.6, 1.2, 0.2, 0.8
15818, 9, -21, 1553, -29.8, 1.2, 0.2, 0.8
16058, 24, -6, 1577, -13.0, 1.2, 0.2, 0.8
16293, 44, 14, 1600, 13.8, 1.2, 0.2, 0.8
16534, 9, -21, 1624, -32.4, 1.2, 0.2, 0.8
16765, 9, -21, 1647, -36.6, 1.2, 0.2, 0.8
16994, 37, 7, 1671, -1.6, 1.2, 0.2, 0.8
17225, 35, 5, 1693, -3.0, 1.2, 0.2, 0.8
17451, 10, -20, 1716, -37.0, 1.2, 0.2, 0.8
17669, 24, -6, 1738, -21.4, 1.2, 0.2, 0.8
17899, 54, 24, 1761, 19.4, 1.2, 0.2, 0.8
18151, 10, -20, 1786, -37.4, 1.2, 0.2, 0.8
18365, 8, -22, 1808, -44.20000000000001, 1.2, 0.2, 0.8
18588, 57, 27, 1830, 20.0, 1.2, 0.2, 0.8
18808, 25, -5, 1852, -19.4, 1.2, 0.2, 0.8
19034, 7, -23, 1875, -45.6, 1.2, 0.2, 0.8
19241, 59, 29, 1895, 22.59999999999999, 1.2, 0.2, 0.8
19453, 38, 8, 1916, -1.000000000000002, 1.2, 0.2, 0.8
19678, 8, -22, 1938, -41.4, 1.2, 0.2, 0.8
19891, 9, -21, 1960, -44.4, 1.2, 0.2, 0.8
20118, 61, 31, 1983, 24.2, 1.2, 0.2, 0.8
