Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
259, 38, 8, 0, 12.8, 1.2, 0.4, 0.8
492, 31, 1, 19, 4.8, 1.2, 0.4, 0.8
736, 11, -19, 44, -26.8, 1.2, 0.4, 0.8
969, 28, -2, 67, -7.200000000000001, 1.2, 0.4, 0.8
1205, 53, 23, 91, 32.0, 1.2, 0.4, 0.8
1432, 48, 18, 113, 33.2, 1.2, 0.4, 0.8
1661, 10, -20, 136, -20.4, 1.2, 0.4, 0.8
1895, 33, 3, 160, 8.4, 1.2, 0.4, 0.8
2121, 63, 33, 182, 57.60000000000001, 1.2, 0.4, 0.8
2358, 49, 19, 206, 48.40000000000001, 1.2, 0.4, 0.8
2572, 7, -23, 227, -11.2, 1.2, 0.4, 0.8
2787, 6, -24, 249, -22.0, 1.2, 0.4, 0.8
3022, 7, -23, 272, -30.0, 1.2, 0.4, 0.8
3241, 6, -24, 294, -40.8, 1.2, 0.4, 0.8
3476, 7, -23, 318, -48.8, 1.2, 0.4, 0.8
3699, 7, -23, 340, -58.00000000000001, 1.2, 0.4, 0.8
3927, 48, 18, 363, -1.600000000000005, 1.2, 0.4, 0.8
4147, 62, 32, 385, 28.0, 1.2, 0.4, 0.8
4372, 13, -17, 407, -37.6, 1.2, 0.4, 0.8
4599, 11, -19, 430, -47.60000000000001, 1.2, 0.4, 0.8
4828, 69, 39, 453, 37.6, 1.2, 0.4, 0.8
5060, 69, 39, 476, 53.2, 1.2, 0.4, 0.8
5282, 8, -22, 498, -28.8, 1.2, 0.4, 0.8
5499, 8, -22, 520, -37.6, 1.2, 0.4, 0.8
5745, 73, 43, 545, 57.60000000000001, 1.2, 0.4, 0.8
5968, 65, 35, 567, 62.0, 1.2, 0.4, 0.8
6198, 42, 12, 590, 39.2, 1.2, 0.4, 0.8
6435, 7, -23, 614, -12.0, 1.2, 0.4, 0.8
6665, 9, -21, 637, -18.0, 1.2, 0.4, 0.8
6885, 54, 24, 659, 45.6, 1.2, 0.4, 0.8
7101, 55, 25, 680, 56.8, 1.2, 0.4, 0.8
7339, 7, -23, 704, -9.999999999999996, 1.2, 0.4, 0.8
7571, 8, -22, 727, -17.6, 1.2, 0.4, 0.8
7790, 7, -23, 749, -28.0, 1.2, 0.4, 0.8
8021, 7, -23, 772, -37.20000000000001, 1.2, 0.4, 0.8
8230, 7, -23, 793, -46.4, 1.2, 0.4, 0.8
8464, 8, -22, 816, -54.0, 1.2, 0.4, 0.8
8684, 45, 15, 839, -3.600000000000001, 1.2, 0.4, 0.8
8921, 61, 31, 862, 27.99999999999999, 1.2, 0.4, 0.8
9142, 27, -3, 884, -14.0, 1.2, 0.4, 0.8
9370, 14, -16, 907, -36.0, 1.2, 0.4, 0.8
9597, 57, 27, 930, 26.4, 1.2, 0.4, 0.8
9830, 57, 27, 953, 37.20000000000001, 1.2, 0.4, 0.8
10054, 42, 12, 976, 24.0, 1.2, 0.4, 0.8
10280, 9, -21, 998, -24.0, 1.2, 0.4, 0.8
10502, 7, -23, 1020, -35.6, 1.2, 0.4, 0.8
10746, 22, -8, 1045, -20.8, 1.2, 0.4, 0.8
10978, 40, 10, 1068, 4.8, 1.2, 0.4, 0.8
11202, 26, -4, 1090, -13.6, 1.2, 0.4, 0.8
11423, 41, 11, 1112, 8.799999999999999, 1.2, 0.4, 0.8
11649, 52, 22, 1135, 30.8, 1.2, 0.4, 0.8
11872, 41, 11, 1158, 22.0, 1.2, 0.4, 0.8
12105, 26, -4, 1181, 2.4, 1.2, 0.4, 0.8
12337, 63, 33, 1204, 60.0, 1.2, 0.4, 0.8
12562, 55, 25, 1227, 60.40000000000001, 1.2, 0.4, 0.8
12793, 9, -21, 1249, -3.199999999999999, 1.2, 0.4, 0.8
13021, 13, -17, 1272, -5.199999999999998, 1.2, 0.4, 0.8
13250, 54, 24, 1295, 53.59999999999999, 1.2, 0.4, 0.8
13488, 68, 38, 1319, 85.6, 1.2, 0.4, 0.8
13701, 15, -15, 1340, 16.0, 1.2, 0.4, 0.8
13920, 9, -21, 1362, 0.4000000000000021, 1.2, 0.4, 0.8
14141, 10, -20, 1384, -6.399999999999999, 1.2, 0.4, 0.8
14356, 61, 31, 1406, 67.19999999999999, 1.2, 0.4, 0.8
14581, 66, 36, 1428, 87.6, 1.2, 0.4, 0.8
14807, 18, -12, 1451, 25.2, 1.2, 0.4, 0.8
15030, 7, -23, 1473, 2.800000000000004, 1.2, 0.4, 0.8
15257, 15, -15, 1496, 6.400000000000002, 1.2, 0.4, 0.8
15503, 56, 26, 1521, 66.00000000000001, 1.2, 0.4, 0.8
15742, 59, 29, 1545, 81.20000000000001, 1.2, 0.4, 0.8
15985, 8, -22, 1569, 11.2, 1.2, 0.4, 0.8
16207, 7, -23, 1591, 0.8000000000000043, 1.2, 0.4, 0.8
16440, 8, -22, 1614, -6.799999999999997, 1.2, 0.4, 0.8
16666, 24, -6, 1637, 10.0, 1.2, 0.4, 0.8
16891, 60, 30, 1660, 65.2, 1.2, 0.4, 0.8
17133, 58, 28, 1684, 74.0, 1.2, 0.4, 0.8
17360, 57, 27, 1706, 83.59999999999999, 1.2, 0.4, 0.8
17595, 11, -19, 1730, 20.8, 1.2, 0.4, 0.8
17825, 7, -23, 1752, 6.800000000000001, 1.2, 0.4, 0.8
18054, 8, -22, 1776, -0.7999999999999972, 1.2, 0.4, 0.8
18280, 18, -12, 1798, 6.400000000000002, 1.2, 0.4, 0.8
18507, 65, 35, 1821, 76.80000000000001, 1.2, 0.4, 0.8
18749, 62, 32, 1845, 86.0, 1.2, 0.4, 0.8
18965, 8, -22, 1867, 12.40000000000001, 1.2, 0.4, 0.8
19209, 7, -23, 1891, 2.000000000000004, 1.2, 0.4, 0.8
19450, 8, -22, 1915, -5.599999999999998, 1.2, 0.4, 0.8
19683, 34, 4, 1939, 27.20000000000001, 1.2, 0.4, 0.8
19905, 31, 1, 1961, 24.0, 1.2, 0.4, 0.8
20125, 7, -23, 1983, -14.0, 1.2, 0.4, 0.8
20366, 8, -22, 2007, -21.6, 1.2, 0.4, 0.8
