Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
257, 43, 13, 0, 28.6, 1.2, 1, 0.8
477, 15, -15, 18, -20.0, 1.2, 1, 0.8
701, 8, -22, 41, -50.4, 1.2, 1, 0.8
930, 52, 22, 64, 24.4, 1.2, 1, 0.8
1170, 57, 27, 87, 57.4, 1.2, 1, 0.8
1397, 35, 5, 110, 36.0, 1.2, 1, 0.8
1633, 6, -24, 134, -22.8, 1.2, 1, 0.8
1855, 6, -24, 156, -46.8, 1.2, 1, 0.8
2073, 53, 23, 178, 32.6, 1.2, 1, 0.8
2305, 69, 39, 201, 90.8, 1.2, 1, 0.8
2520, 11, -19, 223, 2.199999999999999, 1.2, 1, 0.8
2735, 6, -24, 244, -27.8, 1.2, 1, 0.8
2953, 7, -23, 266, -49.6, 1.2, 1, 0.8
3175, 6, -24, 288, -74.8, 1.2, 1, 0.8
3398, 9, -21, 310, -92.20000000000001, 1.2, 1, 0.8
3617, 59, 29, 332, -3.200000000000003, 1.2, 1, 0.8
3845, 56, 26, 355, 19.2, 1.2, 1, 0.8
4078, 63, 33, 378, 60.6, 1.2, 1, 0.8
4303, 61, 31, 401, 89.2, 1.2, 1, 0.8
4522, 8, -22, 423, 3.600000000000001, 1.2, 1, 0.8
4744, 8, -22, 445, -18.4, 1.2, 1, 0.8
4972, 8, -22, 467, -40.4, 1.2, 1, 0.8
5192, 10, -20, 490, -58.00000000000001, 1.2, 1, 0.8
5408, 9, -21, 511, -80.20000000000001, 1.2, 1, 0.8
5627, 9, -21, 533, -101.2, 1.2, 1, 0.8
5846, 9, -21, 555, -122.2, 1.2, 1, 0.8
6085, 69, 39, 579, -11.2, 1.2, 1, 0.8
6320, 73, 43, 602, 36.6, 1.2, 1, 0.8
6542, 77, 47, 625, 88.40000000000002, 1.2, 1, 0.8
6769, 74, 44, 648, 128.8, 1.2, 1, 0.8
7003, 49, 19, 671, 117.8, 1.2, 1, 0.8
7222, 63, 33, 693, 167.6, 1.2, 1, 0.8
7443, 61, 31, 715, 196.2, 1.2, 1, 0.8
7669, 7, -23, 737, 108.4, 1.2, 1, 0.8
7893, 8, -22, 760, 87.6, 1.2, 1, 0.8
8116, 64, 34, 782, 188.8, 1.2, 1, 0.8
8357, 60, 30, 807, 214.0, 1.2, 1, 0.8
8578, 71, 41, 829, 268.2, 1.2, 1, 0.8
8810, 6, -24, 850, 166.2, 1.2, 1, 0.8
9030, 68, 38, 873, 278.6, 1.2, 1, 0.8
9266, 70, 40, 895, 321.0, 1.2, 1, 0.8
9502, 58, 28, 919, 334.6, 1.2, 1, 0.8
9729, 9, -21, 942, 254.8, 1.2, 1, 0.8
9950, 60, 30, 964, 346.0, 1.2, 1, 0.8
10202, 72, 42, 989, 402.4, 1.2, 1, 0.8
10440, 9, -21, 1013, 305.8, 1.2, 1, 0.8
10668, 68, 38, 1036, 414.6, 1.2, 1, 0.8
10892, 57, 27, 1058, 428.4, 1.2, 1, 0.8
11136, 7, -23, 1083, 345.4, 1.2, 1, 0.8
11359, 60, 30, 1105, 439.0, 1.2, 1, 0.8
11598, 63, 33, 1129, 475.6, 1.2, 1, 0.8
11822, 6, -24, 1151, 383.2, 1.2, 1, 0.8
12040, 68, 38, 1173, 495.6, 1.2, 1, 0.8
12268, 63, 33, 1196, 522.6, 1.2, 1, 0.8
12469, 7, -23, 1216, 432.4, 1.2, 1, 0.8
12684, 61, 31, 1237, 528.2000000000001, 1.2, 1, 0.8
12918, 59, 29, 1261, 554.8, 1.2, 1, 0.8
13141, 14, -16, 1283, 484.8, 1.2, 1, 0.8
13368, 7, -23, 1306, 453.4, 1.2, 1, 0.8
13589, 63, 33, 1328, 553.6, 1.2, 1, 0.8
13818, 54, 24, 1351, 566.7999999999999, 1.2, 1, 0.8
14044, 8, -22, 1374, 489.6, 1.2, 1, 0.8
14269, 61, 31, 1396, 584.2000000000001, 1.2, 1, 0.8
14498, 67, 37, 1419, 628.4, 1.2, 1, 0.8
14732, 8, -22, 1442, 535.6000000000001, 1.2, 1, 0.8
14959, 67, 37, 1465, 643.4, 1.2, 1, 0.8
15201, 59, 29, 1489, 662.8, 1.2, 1, 0.8
15419, 7, -23, 1511, 577.4, 1.2, 1, 0.8
15634, 62, 32, 1533, 675.4, 1.2, 1, 0.8
15864, 58, 28, 1555, 698.6000000000001, 1.2, 1, 0.8
16088, 7, -23, 1578, 614.4, 1.2, 1, 0.8
16313, 50, 20, 1600, 686.0, 1.2, 1, 0.8
16541, 61, 31, 1623, 730.2, 1.2, 1, 0.8
16771, 7, -23, 1646, 642.3999999999999, 1.2, 1, 0.8
16982, 60, 30, 1668, 736.0, 1.2, 1, 0.8
17224, 62, 32, 1691, 770.4, 1.2, 1, 0.8
17443, 63, 33, 1714, 804.6000000000001, 1.2, 1, 0.8
17669, 8, -22, 1736, 716.6, 1.2, 1, 0.8
17888, 61, 31, 1758, 811.2, 1.2, 1, 0.8
18101, 8, -22, 1779, 725.6, 1.2, 1, 0.8
18321, 38, 8, 1801, 769.6000000000001, 1.2, 1, 0.8
18538, 60, 30, 1823, 826.0, 1.2, 1, 0.8
18771, 70, 40, 1846, 877.9999999999999, 1.2, 1, 0.8
19007, 7, -23, 1870, 779.4, 1.2, 1, 0.8
19230, 66, 36, 1892, 886.2, 1.2, 1, 0.8
19446, 60, 30, 1914, 909.0, 1.2, 1, 0.8
19665, 7, -23, 1935, 822.4, 1.2, 1, 0.8
19897, 61, 31, 1959, 918.2, 1.2, 1, 0.8
20118, 61, 31, 1981, 949.2000000000001, 1.2, 1, 0.8
20328, 7, -23, 2002, 861.4000000000001, 1.2, 1, 0.8
