Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
253, 35, 5, 0, 11.0, 1.2, 1, 0.8
488, 17, -13, 19, -23.6, 1.2, 1, 0.8
715, 22, -8, 42, -25.6, 1.2, 1, 0.8
940, 53, 23, 64, 34.6, 1.2, 1, 0.8
1181, 47, 17, 88, 44.4, 1.2, 1, 0.8
1406, 7, -23, 111, -26.6, 1.2, 1, 0.8
1646, 9, -21, 135, -45.2, 1.2, 1, 0.8
1870, 58, 28, 157, 41.6, 1.2, 1, 0.8
2105, 66, 36, 181, 87.19999999999999, 1.2, 1, 0.8
2326, 66, 36, 203, 123.2, 1.2, 1, 0.8
2544, 7, -23, 225, 29.4, 1.2, 1, 0.8
2764, 7, -23, 247, 6.400000000000002, 1.2, 1, 0.8
2988, 7, -23, 269, -16.6, 1.2, 1, 0.8
3205, 16, -14, 291, -19.8, 1.2, 1, 0.8
3426, 61, 31, 313, 65.2, 1.2, 1, 0.8
3655, 63, 33, 336, 100.6, 1.2, 1, 0.8
3878, 8, -22, 359, 12.6, 1.2, 1, 0.8
4115, 7, -23, 382, -11.6, 1.2, 1, 0.8
4340, 7, -23, 404, -34.6, 1.2, 1, 0.8
4564, 7, -23, 427, -57.6, 1.2, 1, 0.8
4794, 7, -23, 450, -80.6, 1.2, 1, 0.8
5008, 7, -23, 471, -103.6, 1.2, 1, 0.8
5227, 7, -23, 493, -126.6, 1.2, 1, 0.8
5449, 6, -24, 516, -151.8, 1.2, 1, 0.8
5674, 55, 25, 538, -68.00000000000001, 1.2, 1, 0.8
5905, 54, 24, 561, -45.2, 1.2, 1, 0.8
6127, 54, 24, 583, -21.20000000000001, 1.2, 1, 0.8
6341, 54, 24, 605, 2.799999999999997, 1.2, 1, 0.8
6598, 6, -24, 630, -78.8, 1.2, 1, 0.8
6827, 6, -24, 653, -102.8, 1.2, 1, 0.8
7042, 6, -24, 675, -126.8, 1.2, 1, 0.8
7268, 7, -23, 697, -148.6, 1.2, 1, 0.8
7494, 48, 18, 720, -81.40000000000001, 1.2, 1, 0.8
7718, 60, 30, 742, -37.0, 1.2, 1, 0.8
7944, 58, 28, 765, -11.4, 1.2, 1, 0.8
8163, 59, 29, 786, 18.8, 1.2, 1, 0.8
8395, 69, 39, 810, 69.8, 1.2, 1, 0.8
8632, 62, 32, 834, 93.40000000000002, 1.2, 1, 0.8
8854, 63, 33, 856, 127.6, 1.2, 1, 0.8
9075, 8, -22, 879, 39.6, 1.2, 1, 0.8
9307, 7, -23, 901, 15.4, 1.2, 1, 0.8
9535, 7, -23, 924, -7.599999999999998, 1.2, 1, 0.8
9744, 61, 31, 945, 88.19999999999999, 1.2, 1, 0.8
9975, 67, 37, 968, 132.4, 1.2, 1, 0.8
10211, 74, 44, 992, 184.8, 1.2, 1, 0.8
10430, 23, -7, 1014, 116.6, 1.2, 1, 0.8
10663, 63, 33, 1037, 197.6, 1.2, 1, 0.8
10891, 59, 29, 1060, 221.8, 1.2, 1, 0.8
11139, 8, -22, 1085, 138.6, 1.2, 1, 0.8
11372, 8, -22, 1108, 116.6, 1.2, 1, 0.8
11590, 30, 0, 1130, 143.0, 1.2, 1, 0.8
11823, 58, 28, 1153, 204.6, 1.2, 1, 0.8
12044, 7, -23, 1175, 120.4, 1.2, 1, 0.8
12268, 6, -24, 1197, 95.20000000000001, 1.2, 1, 0.8
12484, 59, 29, 1219, 187.8, 1.2, 1, 0.8
12703, 54, 24, 1241, 205.8, 1.2, 1, 0.8
12927, 13, -17, 1263, 139.6, 1.2, 1, 0.8
13147, 17, -13, 1285, 131.4, 1.2, 1, 0.8
13379, 64, 34, 1309, 221.8, 1.2, 1, 0.8
13607, 50, 20, 1332, 225.0, 1.2, 1, 0.8
13837, 8, -22, 1354, 152.6, 1.2, 1, 0.8
14074, 9, -21, 1378, 132.8, 1.2, 1, 0.8
14290, 7, -23, 1400, 107.4, 1.2, 1, 0.8
14526, 6, -24, 1423, 82.20000000000001, 1.2, 1, 0.8
14759, 7, -23, 1446, 60.40000000000001, 1.2, 1, 0.8
14979, 41, 11, 1468, 112.2, 1.2, 1, 0.8
15204, 68, 38, 1491, 182.6, 1.2, 1, 0.8
15420, 15, -15, 1513, 104.0, 1.2, 1, 0.8
15646, 12, -18, 1535, 82.4, 1.2, 1, 0.8
15870, 16, -14, 1557, 73.2, 1.2, 1, 0.8
16103, 13, -17, 1581, 52.60000000000001, 1.2, 1, 0.8
16346, 14, -16, 1605, 37.8, 1.2, 1, 0.8
16564, 17, -13, 1627, 28.4, 1.2, 1, 0.8
16792, 15, -15, 1650, 11.0, 1.2, 1, 0.8
17011, 15, -15, 1672, -4.0, 1.2, 1, 0.8
17244, 57, 27, 1695, 73.40000000000001, 1.2, 1, 0.8
17468, 76, 46, 1717, 142.2, 1.2, 1, 0.8
17695, 73, 43, 1741, 181.6, 1.2, 1, 0.8
17922, 7, -23, 1763, 79.40000000000001, 1.2, 1, 0.8
18147, 9, -21, 1785, 60.8, 1.2, 1, 0.8
18383, 8, -22, 1809, 37.6, 1.2, 1, 0.8
18598, 8, -22, 1830, 15.6, 1.2, 1, 0.8
18818, 61, 31, 1852, 110.2, 1.2, 1, 0.8
19049, 61, 31, 1876, 141.2, 1.2, 1, 0.8
19293, 63, 33, 1900, 176.6, 1.2, 1, 0.8
19518, 23, -7, 1923, 121.6, 1.2, 1, 0.8
19747, 8, -22, 1945, 81.6, 1.2, 1, 0.8
19966, 8, -22, 1967, 59.60000000000001, 1.2, 1, 0.8
20196, 64, 34, 1990, 160.8, 1.2, 1, 0.8
20433, 72, 42, 2014, 212.4, 1.2, 1, 0.8
