Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
261, 42, 12, 0, 2.4, 0.2, 1.0, 0.8
491, 40, 10, 33, 2.0, 0.2, 1.0, 0.8
724, 35, 5, 78, 1.0, 0.2, 1.0, 0.8
951, 27, -3, 124, -0.6000000000000001, 0.2, 1.0, 0.8
1184, 18, -12, 171, -2.4, 0.2, 1.0, 0.8
1406, 10, -20, 215, -4.0, 0.2, 1.0, 0.8
1630, 12, -18, 259, -3.6, 0.2, 1.0, 0.8
1851, 9, -21, 304, -4.2, 0.2, 1.0, 0.8
2074, 12, -18, 349, -3.6, 0.2, 1.0, 0.8
2309, 15, -15, 396, -3.0, 0.2, 1.0, 0.8
2547, 22, -8, 444, -1.6, 0.2, 1.0, 0.8
2778, 30, 0, 490, 0.0, 0.2, 1.0, 0.8
2990, 33, 3, 532, 0.6000000000000001, 0.2, 1.0, 0.8
3223, 31, 1, 579, 0.2, 0.2, 1.0, 0.8
3434, 36, 6, 620, 1.2, 0.2, 1.0, 0.8
3650, 33, 3, 664, 0.6000000000000001, 0.2, 1.0, 0.8
3877, 29, -1, 709, -0.2, 0.2, 1.0, 0.8
4100, 26, -4, 754, -0.8, 0.2, 1.0, 0.8
4339, 24, -6, 802, -1.2, 0.2, 1.0, 0.8
4569, 14, -16, 848, -3.2, 0.2, 1.0, 0.8
4799, 20, -10, 893, -2.0, 0.2, 1.0, 0.8
5041, 25, -5, 942, -1.0, 0.2, 1.0, 0.8
5267, 26, -4, 987, -0.8, 0.2, 1.0, 0.8
5487, 29, -1, 1031, -0.2, 0.2, 1.0, 0.8
