Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
248, 8, -22, 0, -4.4, 0.2, 1.0, 0.8
392, 9, -21, 11, -4.2, 0.2, 1.0, 0.8
519, 7, -23, 39, -4.600000000000001, 0.2, 1.0, 0.8
641, 7, -23, 63, -4.600000000000001, 0.2, 1.0, 0.8
761, 7, -23, 87, -4.600000000000001, 0.2, 1.0, 0.8
875, 7, -23, 110, -4.600000000000001, 0.2, 1.0, 0.8
993, 7, -23, 134, -4.600000000000001, 0.2, 1.0, 0.8
1124, 8, -22, 160, -4.4, 0.2, 1.0, 0.8
1238, 10, -20, 183, -4.0, 0.2, 1.0, 0.8
1360, 13, -17, 207, -3.4, 0.2, 1.0, 0.8
1491, 16, -14, 233, -2.8, 0.2, 1.0, 0.8
1614, 20, -10, 258, -2.0, 0.2, 1.0, 0.8
1733, 19, -11, 282, -2.2, 0.2, 1.0, 0.8
1855, 25, -5, 306, -1.0, 0.2, 1.0, 0.8
1962, 32, 2, 328, 0.4, 0.2, 1.0, 0.8
2087, 37, 7, 352, 1.4, 0.2, 1.0, 0.8
2215, 38, 8, 378, 1.6, 0.2, 1.0, 0.8
2343, 44, 14, 404, 2.8, 0.2, 1.0, 0.8
2487, 40, 10, 432, 2.0, 0.2, 1.0, 0.8
2616, 36, 6, 458, 1.2, 0.2, 1.0, 0.8
2742, 34, 4, 483, 0.8, 0.2, 1.0, 0.8
2875, 36, 6, 510, 1.2, 0.2, 1.0, 0.8
2999, 35, 5, 535, 1.0, 0.2, 1.0, 0.8
3131, 28, -2, 561, -0.4, 0.2, 1.0, 0.8
3255, 25, -5, 586, -1.0, 0.2, 1.0, 0.8
3385, 20, -10, 612, -2.0, 0.2, 1.0, 0.8
3512, 18, -12, 637, -2.4, 0.2, 1.0, 0.8
3632, 19, -11, 661, -2.2, 0.2, 1.0, 0.8
3772, 18, -12, 689, -2.4, 0.2, 1.0, 0.8
3885, 19, -11, 713, -2.2, 0.2, 1.0, 0.8
4010, 19, -11, 737, -2.2, 0.2, 1.0, 0.8
4141, 16, -14, 763, -2.8, 0.2, 1.0, 0.8
4263, 18, -12, 788, -2.4, 0.2, 1.0, 0.8
4406, 20, -10, 816, -2.0, 0.2, 1.0, 0.8
4532, 25, -5, 841, -1.0, 0.2, 1.0, 0.8
4673, 21, -9, 869, -1.8, 0.2, 1.0, 0.8
4799, 27, -3, 895, -0.6000000000000001, 0.2, 1.0, 0.8
4942, 26, -4, 923, -0.8, 0.2, 1.0, 0.8
5071, 27, -3, 949, -0.6000000000000001, 0.2, 1.0, 0.8
5205, 26, -4, 976, -0.8, 0.2, 1.0, 0.8
5332, 24, -6, 1001, -1.2, 0.2, 1.0, 0.8
