Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
235, 38, 8, 0, 1.6, 0.2, 1.0, 0.8
381, 36, 6, 12, 1.2, 0.2, 1.0, 0.8
504, 15, -15, 39, -3.0, 0.2, 1.0, 0.8
634, 8, -22, 64, -4.4, 0.2, 1.0, 0.8
773, 6, -24, 93, -4.800000000000001, 0.2, 1.0, 0.8
898, 7, -23, 117, -4.600000000000001, 0.2, 1.0, 0.8
1026, 9, -21, 143, -4.2, 0.2, 1.0, 0.8
1147, 24, -6, 167, -1.2, 0.2, 1.0, 0.8
1278, 59, 29, 193, 5.800000000000001, 0.2, 1.0, 0.8
1400, 69, 39, 218, 7.800000000000001, 0.2, 1.0, 0.8
1525, 59, 29, 243, 5.800000000000001, 0.2, 1.0, 0.8
1649, 56, 26, 268, 5.2, 0.2, 1.0, 0.8
1778, 58, 28, 293, 5.600000000000001, 0.2, 1.0, 0.8
1909, 57, 27, 320, 5.4, 0.2, 1.0, 0.8
2030, 56, 26, 343, 5.2, 0.2, 1.0, 0.8
2155, 8, -22, 369, -4.4, 0.2, 1.0, 0.8
2276, 7, -23, 393, -4.600000000000001, 0.2, 1.0, 0.8
2421, 8, -22, 422, -4.4, 0.2, 1.0, 0.8
2549, 9, -21, 447, -4.2, 0.2, 1.0, 0.8
2676, 9, -21, 473, -4.2, 0.2, 1.0, 0.8
2799, 9, -21, 498, -4.2, 0.2, 1.0, 0.8
2919, 6, -24, 522, -4.800000000000001, 0.2, 1.0, 0.8
3035, 6, -24, 544, -4.800000000000001, 0.2, 1.0, 0.8
3168, 7, -23, 571, -4.600000000000001, 0.2, 1.0, 0.8
3289, 7, -23, 595, -4.600000000000001, 0.2, 1.0, 0.8
3419, 8, -22, 622, -4.4, 0.2, 1.0, 0.8
3546, 7, -23, 647, -4.600000000000001, 0.2, 1.0, 0.8
3681, 7, -23, 674, -4.600000000000001, 0.2, 1.0, 0.8
3798, 7, -23, 697, -4.600000000000001, 0.2, 1.0, 0.8
3922, 7, -23, 722, -4.600000000000001, 0.2, 1.0, 0.8
4049, 8, -22, 748, -4.4, 0.2, 1.0, 0.8
4188, 7, -23, 775, -4.600000000000001, 0.2, 1.0, 0.8
4309, 7, -23, 800, -4.600000000000001, 0.2, 1.0, 0.8
4431, 7, -23, 824, -4.600000000000001, 0.2, 1.0, 0.8
4544, 7, -23, 847, -4.600000000000001, 0.2, 1.0, 0.8
4669, 7, -23, 871, -4.600000000000001, 0.2, 1.0, 0.8
4789, 8, -22, 896, -4.4, 0.2, 1.0, 0.8
4907, 32, 2, 919, 0.4, 0.2, 1.0, 0.8
5039, 53, 23, 946, 4.600000000000001, 0.2, 1.0, 0.8
5174, 58, 28, 973, 5.600000000000001, 0.2, 1.0, 0.8
5307, 57, 27, 999, 5.4, 0.2, 1.0, 0.8
