Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
248, 9, -21, 0, -25.2, 1.2, 1.0, 0.8
476, 6, -24, 19, -28.8, 1.2, 1.0, 0.8
724, 7, -23, 44, -27.6, 1.2, 1.0, 0.8
943, 7, -23, 66, -27.6, 1.2, 1.0, 0.8
1173, 7, -23, 89, -27.6, 1.2, 1.0, 0.8
1388, 6, -24, 110, -28.8, 1.2, 1.0, 0.8
1612, 7, -23, 132, -27.6, 1.2, 1.0, 0.8
1825, 6, -24, 154, -28.8, 1.2, 1.0, 0.8
2047, 7, -23, 176, -27.6, 1.2, 1.0, 0.8
2262, 66, 36, 198, 43.19999999999999, 1.2, 1.0, 0.8
2494, 61, 31, 221, 37.2, 1.2, 1.0, 0.8
2718, 65, 35, 243, 42.0, 1.2, 1.0, 0.8
2942, 66, 36, 266, 43.19999999999999, 1.2, 1.0, 0.8
3166, 59, 29, 288, 34.8, 1.2, 1.0, 0.8
3395, 59, 29, 311, 34.8, 1.2, 1.0, 0.8
3615, 57, 27, 333, 32.4, 1.2, 1.0, 0.8
3842, 64, 34, 356, 40.8, 1.2, 1.0, 0.8
4064, 68, 38, 378, 45.6, 1.2, 1.0, 0.8
4279, 6, -24, 399, -28.8, 1.2, 1.0, 0.8
4524, 6, -24, 424, -28.8, 1.2, 1.0, 0.8
4751, 7, -23, 447, -27.6, 1.2, 1.0, 0.8
4965, 8, -22, 468, -26.4, 1.2, 1.0, 0.8
5185, 8, -22, 490, -26.4, 1.2, 1.0, 0.8
5410, 9, -21, 513, -25.2, 1.2, 1.0, 0.8
5635, 9, -21, 535, -25.2, 1.2, 1.0, 0.8
5867, 9, -21, 558, -25.2, 1.2, 1.0, 0.8
6085, 9, -21, 580, -25.2, 1.2, 1.0, 0.8
6317, 31, 1, 603, 1.2, 1.2, 1.0, 0.8
6544, 59, 29, 626, 34.8, 1.2, 1.0, 0.8
6776, 59, 29, 649, 34.8, 1.2, 1.0, 0.8
7017, 63, 33, 673, 39.6, 1.2, 1.0, 0.8
7245, 57, 27, 696, 32.4, 1.2, 1.0, 0.8
7493, 57, 27, 721, 32.4, 1.2, 1.0, 0.8
7733, 68, 38, 745, 45.6, 1.2, 1.0, 0.8
7947, 7, -23, 766, -27.6, 1.2, 1.0, 0.8
8181, 6, -24, 790, -28.8, 1.2, 1.0, 0.8
8412, 8, -22, 813, -26.4, 1.2, 1.0, 0.8
8633, 7, -23, 835, -27.6, 1.2, 1.0, 0.8
8861, 7, -23, 857, -27.6, 1.2, 1.0, 0.8
9093, 7, -23, 881, -27.6, 1.2, 1.0, 0.8
9325, 8, -22, 904, -26.4, 1.2, 1.0, 0.8
9547, 8, -22, 926, -26.4, 1.2, 1.0, 0.8
9763, 43, 13, 948, 15.6, 1.2, 1.0, 0.8
9989, 51, 21, 971, 25.2, 1.2, 1.0, 0.8
10228, 37, 7, 994, 8.4, 1.2, 1.0, 0.8
10445, 27, -3, 1016, -3.6, 1.2, 1.0, 0.8
