Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
269, 39, 9, 0, 10.8, 1.2, 1.0, 0.8
486, 28, -2, 9, -2.4, 1.2, 1.0, 0.8
709, 18, -12, 20, -14.4, 1.2, 1.0, 0.8
930, 25, -5, 32, -6.0, 1.2, 1.0, 0.8
1152, 37, 7, 42, 8.4, 1.2, 1.0, 0.8
1361, 34, 4, 53, 4.8, 1.2, 1.0, 0.8
1582, 26, -4, 64, -4.8, 1.2, 1.0, 0.8
1807, 31, 1, 76, 1.2, 1.2, 1.0, 0.8
2032, 42, 12, 86, 14.4, 1.2, 1.0, 0.8
2253, 37, 7, 97, 8.4, 1.2, 1.0, 0.8
2482, 25, -5, 109, -6.0, 1.2, 1.0, 0.8
2701, 38, 8, 120, 9.6, 1.2, 1.0, 0.8
2931, 45, 15, 131, 18.0, 1.2, 1.0, 0.8
3153, 40, 10, 143, 12.0, 1.2, 1.0, 0.8
3372, 30, 0, 153, 0.0, 1.2, 1.0, 0.8
3594, 44, 14, 165, 16.8, 1.2, 1.0, 0.8
3842, 37, 7, 177, 8.4, 1.2, 1.0, 0.8
4074, 18, -12, 189, -14.4, 1.2, 1.0, 0.8
4301, 26, -4, 200, -4.8, 1.2, 1.0, 0.8
4532, 34, 4, 211, 4.8, 1.2, 1.0, 0.8
4761, 26, -4, 223, -4.8, 1.2, 1.0, 0.8
4991, 17, -13, 234, -15.6, 1.2, 1.0, 0.8
5211, 24, -6, 246, -7.199999999999999, 1.2, 1.0, 0.8
5434, 29, -1, 256, -1.2, 1.2, 1.0, 0.8
5658, 19, -11, 268, -13.2, 1.2, 1.0, 0.8
5889, 16, -14, 279, -16.8, 1.2, 1.0, 0.8
6112, 25, -5, 291, -6.0, 1.2, 1.0, 0.8
6354, 25, -5, 302, -6.0, 1.2, 1.0, 0.8
6585, 18, -12, 314, -14.4, 1.2, 1.0, 0.8
6811, 18, -12, 325, -14.4, 1.2, 1.0, 0.8
7033, 25, -5, 337, -6.0, 1.2, 1.0, 0.8
7270, 15, -15, 348, -18.0, 1.2, 1.0, 0.8
7487, 16, -14, 359, -16.8, 1.2, 1.0, 0.8
7716, 27, -3, 371, -3.6, 1.2, 1.0, 0.8
7941, 21, -9, 382, -10.8, 1.2, 1.0, 0.8
8168, 18, -12, 393, -14.4, 1.2, 1.0, 0.8
