Time in ms, Reflection, Error, Distance in mm, Command
215, 30, 0, 0, 0
445, 30, 0, 10, 0
657, 42, 12, 21, 8
895, 37, 7, 32, 8
1132, 24, -6, 44, -8
1346, 20, -10, 55, -8
1565, 30, 0, 66, 0
1789, 45, 15, 77, 8
2005, 47, 17, 88, 8
2220, 45, 15, 99, 8
2442, 44, 14, 110, 8
2655, 42, 12, 120, 8
2881, 32, 2, 132, 8
3102, 31, 1, 143, 8
3322, 30, 0, 154, 0
3533, 47, 17, 164, 8
3763, 61, 31, 176, 8
3975, 68, 38, 186, 8
4187, 64, 34, 197, 8
4409, 57, 27, 208, 8
4647, 51, 21, 220, 8
4871, 29, -1, 231, -8
5084, 22, -8, 242, -8
5302, 25, -5, 253, -8
5524, 24, -6, 264, -8
5737, 23, -7, 275, -8
5951, 23, -7, 285, -8
6158, 21, -9, 296, -8
6375, 17, -13, 306, -8
6597, 13, -17, 317, -8
6810, 11, -19, 328, -8
7019, 7, -23, 339, -8
7237, 7, -23, 349, -8
7448, 7, -23, 360, -8
7668, 8, -22, 371, -8
7901, 5, -25, 383, -8
8131, 7, -23, 394, -8
8354, 8, -22, 405, -8
8571, 8, -22, 416, -8
8779, 8, -22, 427, -8
8988, 7, -23, 437, -8
9214, 7, -23, 448, -8
9431, 8, -22, 459, -8
9662, 7, -23, 471, -8
9886, 7, -23, 482, -8
10101, 8, -22, 493, -8
10332, 19, -11, 504, -8
10548, 51, 21, 515, 8
10765, 68, 38, 526, 8
10998, 69, 39, 538, 8
11222, 63, 33, 549, 8
11452, 60, 30, 560, 8
11677, 57, 27, 571, 8
11901, 56, 26, 583, 8
12116, 56, 26, 593, 8
12341, 58, 28, 605, 8
12554, 62, 32, 615, 8
12781, 65, 35, 627, 8
12996, 63, 33, 637, 8
13226, 61, 31, 649, 8
13448, 59, 29, 660, 8
13672, 59, 29, 671, 8
13908, 59, 29, 683, 8
14136, 63, 33, 694, 8
14356, 67, 37, 706, 8
14586, 69, 39, 717, 8
14801, 63, 33, 728, 8
15020, 61, 31, 739, 8
15240, 58, 28, 750, 8
15466, 58, 28, 761, 8
15691, 53, 23, 772, 8
15906, 7, -23, 783, -8
16132, 7, -23, 794, -8
16346, 6, -24, 805, -8
16570, 7, -23, 816, -8
16786, 7, -23, 827, -8
17006, 8, -22, 838, -8
17221, 7, -23, 849, -8
17450, 7, -23, 860, -8
17673, 7, -23, 871, -8
17890, 8, -22, 882, -8
18117, 7, -23, 893, -8
18336, 7, -23, 905, -8
18557, 7, -23, 916, -8
18781, 8, -22, 927, -8
19007, 7, -23, 938, -8
19230, 8, -22, 949, -8
19446, 7, -23, 960, -8
19666, 7, -23, 971, -8
19885, 7, -23, 982, -8
20105, 9, -21, 993, -8
20326, 8, -22, 1004, -8
