Time in ms, Reflection, Error, Distance in mm, Command
248, 53, 23, 0, 20
492, 37, 7, 41, 20
731, 7, -23, 114, -20
960, 9, -21, 182, -20
1185, 15, -15, 250, -20
1405, 56, 26, 316, 20
1620, 69, 39, 381, 20
1830, 15, -15, 444, -20
2049, 7, -23, 509, -20
2267, 7, -23, 575, -20
2497, 29, -1, 643, -20
2731, 63, 33, 714, 20
2967, 42, 12, 785, 20
3179, 7, -23, 848, -20
3402, 6, -24, 915, -20
3621, 18, -12, 981, -20
3840, 61, 31, 1046, 20
4072, 49, 19, 1117, 20
4295, 8, -22, 1183, -20
4509, 7, -23, 1247, -20
4727, 20, -10, 1314, -20
4953, 53, 23, 1381, 20
5169, 54, 24, 1446, 20
5389, 11, -19, 1512, -20
5611, 6, -24, 1579, -20
5832, 27, -3, 1644, -20
6057, 54, 24, 1711, 20
6284, 41, 11, 1780, 20
6499, 8, -22, 1846, -20
6729, 8, -22, 1913, -20
6954, 43, 13, 1980, 20
7179, 59, 29, 2048, 20
