Time in ms, Reflection, Error, Distance in mm, Command
233, 31, 1, 0, 20
453, 36, 6, 35, 20
684, 57, 27, 105, 20
909, 55, 25, 172, 20
1122, 36, 6, 237, 20
1346, 6, -24, 304, -20
1576, 7, -23, 373, -20
1801, 63, 33, 441, 20
2023, 39, 9, 507, 20
2239, 7, -23, 571, -20
2467, 7, -23, 641, -20
2696, 7, -23, 709, -20
2911, 7, -23, 774, -20
3126, 6, -24, 838, -20
3349, 8, -22, 904, -20
3559, 58, 28, 967, 20
3783, 60, 30, 1035, 20
4016, 59, 29, 1104, 20
4241, 60, 30, 1172, 20
4462, 59, 29, 1239, 20
4691, 7, -23, 1307, -20
4903, 60, 30, 1372, 20
5132, 64, 34, 1440, 20
5382, 13, -17, 1514, -20
5607, 14, -16, 1582, -20
5828, 17, -13, 1648, -20
6048, 17, -13, 1714, -20
6278, 12, -18, 1784, -20
6516, 14, -16, 1855, -20
6731, 15, -15, 1919, -20
6956, 15, -15, 1987, -20
7178, 16, -14, 2053, -20
