Time in ms, Reflection, Error, Distance in mm, Command
230, 42, 12, 0, 30
447, 26, -4, 17, -30
683, 27, -3, 41, -30
911, 54, 24, 64, 30
1128, 13, -17, 86, -30
1344, 7, -23, 108, -30
1562, 9, -21, 130, -30
1792, 44, 14, 152, 30
2016, 39, 9, 175, 30
2232, 8, -22, 196, -30
2466, 25, -5, 220, -30
2699, 61, 31, 243, 30
2912, 65, 35, 265, 30
3129, 29, -1, 286, -30
3352, 18, -12, 308, -30
3585, 61, 31, 331, 30
3802, 57, 27, 354, 30
4033, 9, -21, 376, -30
4256, 30, 0, 399, 0
4471, 58, 28, 420, 30
4687, 60, 30, 442, 30
4911, 57, 27, 464, 30
5121, 58, 28, 485, 30
5346, 58, 28, 508, 30
5563, 56, 26, 529, 30
5799, 34, 4, 553, 30
6027, 7, -23, 576, -30
6245, 6, -24, 598, -30
6462, 6, -24, 619, -30
6687, 8, -22, 642, -30
6909, 8, -22, 664, -30
7136, 9, -21, 687, -30
7345, 41, 11, 708, 30
7569, 7, -23, 730, -30
7798, 7, -23, 753, -30
8026, 6, -24, 776, -30
8246, 19, -11, 798, -30
8476, 57, 27, 820, 30
8699, 57, 27, 843, 30
8925, 57, 27, 866, 30
9155, 47, 17, 889, 30
9376, 28, -2, 911, -30
9600, 61, 31, 933, 30
9836, 70, 40, 957, 30
10059, 61, 31, 979, 30
10281, 58, 28, 1001, 30
