timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1759842717.29286,0.009827136993408203,255.8,None,9,200,PID,144.2,55.8,30,0,None,39,None,0
1759842717.458367,0.188014030456543,239.6,None,9,200,PID,160.4,39.6,60,0,None,39,None,1
1759842717.635709,0.3623430728912354,239.54,None,10,200,PID,160.46,39.54,89,0,None,39,None,2
1759842717.795146,0.5158231258392334,243.74,None,9,200,PID,156.26,43.74000000000001,119,0,None,39,None,3
1759842717.952508,0.6815781593322754,155.66,None,57,200,PID,244.34,-44.34,101,0,None,39,None,4
1759842718.106474,0.8365261554718018,120.14,None,91,200,PID,279.86,-79.86000000000001,49,0,None,39,None,5
1759842718.249638,0.9798641204833984,148.58,None,85,200,PID,251.42,-51.41999999999999,3,0,None,39,None,6
1759842718.406713,1.136782169342041,153.38,None,79,200,PID,246.62,-46.62,-37,0,None,39,None,7
1759842718.55624,1.286159038543701,156.68,None,74,200,PID,243.32,-43.32,-72,0,None,39,None,8
1759842718.734762,1.461099147796631,162.74,None,68,200,PID,237.26,-37.26,-101,0,None,39,None,9
1759842718.879693,1.610052108764648,209.48,None,40,200,PID,190.52,9.48,-102,0,None,39,None,10
1759842719.02844,1.757426023483276,146.12,None,65,200,PID,253.88,-53.88,-128,0,None,39,None,11
1759842719.185764,1.916285037994385,120.5,None,86,200,PID,279.5,-79.5,-175,0,None,39,None,12
1759842719.334436,2.059999227523804,264.2,None,14,200,PID,135.8,64.19999999999999,-150,0,None,39,None,13
1759842719.482606,2.209389209747314,228.08,None,11,200,PID,171.92,28.08,-122,0,None,39,None,14
1759842719.632864,2.359776020050049,205.64,None,23,200,PID,194.36,5.640000000000001,-106,0,None,39,None,15
1759842719.786292,2.516458034515381,94.76000000000003,None,87,200,PID,305.24,-105.24,-154,0,None,39,None,16
1759842719.954689,2.680635213851929,234.44,None,31,200,PID,165.56,34.44,-146,0,None,39,None,17
1759842720.104466,2.83123517036438,238.52,None,11,200,PID,161.48,38.52,-118,0,None,39,None,18
1759842720.25451,2.980064153671265,230.06,None,10,200,PID,169.94,30.06,-89,0,None,39,None,19
1759842720.416481,3.146555185317993,229.34,None,11,200,PID,170.66,29.34,-61,0,None,39,None,20
1759842720.570943,3.3003990650177,233.48,None,10,200,PID,166.52,33.48,-32,0,None,39,None,21
1759842720.734396,3.463876008987427,89.54000000000001,None,88,200,PID,310.46,-110.46,-81,0,None,39,None,22
1759842720.884669,3.615189075469971,131.54,None,89,200,PID,268.46,-68.46,-131,0,None,39,None,23
1759842721.035676,3.765745162963867,276.08,None,10,200,PID,123.92,76.08000000000001,-102,0,None,39,None,24
1759842721.188298,3.918225049972534,226.7,None,12,200,PID,173.3,26.7,-75,0,None,39,None,25
1759842721.33786,4.067935228347778,231.38,None,11,200,PID,168.62,31.38,-47,0,None,39,None,26
1759842721.492806,4.218478202819824,184.1,None,37,200,PID,215.9,-15.9,-45,0,None,39,None,27
1759842721.637859,4.367574214935303,170.06,None,53,200,PID,229.94,-29.94,-59,0,None,39,None,28
1759842721.805233,4.53132700920105,255.08,None,12,200,PID,144.92,55.08,-32,0,None,39,None,29
1759842721.952256,4.678749084472656,235.82,None,10,200,PID,164.18,35.82,-3,0,None,39,None,30
1759842722.106834,4.832319021224976,180.56,None,40,200,PID,219.44,-19.44,-4,0,None,39,None,31
1759842722.256574,4.986398220062256,103.64,None,91,200,PID,296.36,-96.36000000000001,-56,0,None,39,None,32
1759842722.422819,5.151510000228882,149.72,None,81,200,PID,250.28,-50.28,-98,0,None,39,None,33
1759842722.583672,5.309880018234253,269.54,None,12,200,PID,130.46,69.54,-71,0,None,39,None,34
1759842722.737103,5.467226028442383,233.48,None,10,200,PID,166.52,33.48,-42,0,None,39,None,35
1759842722.887313,5.617987155914307,235.88,None,9,200,PID,164.12,35.88000000000001,-12,0,None,39,None,36
