timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1759845631.3742,0.008651018142700195,205.8,None,9,150,PID,94.2,55.8,30,0,None,39,None,0
1759845631.557073,0.2106869220733643,172.86,None,18,150,PID,127.14,22.86,51,0,None,39,None,1
1759845631.756684,0.4109089374542236,79.08,None,72,150,PID,220.92,-70.92000000000001,18,0,None,39,None,2
1759845631.927751,0.5808179378509521,103.92,None,75,150,PID,196.08,-46.08,-18,0,None,39,None,3
1759845632.095854,0.7507269382476807,204.0,None,21,150,PID,96.00000000000001,54.0,0,0,None,39,None,4
1759845632.263799,0.9138009548187256,195.0,None,9,150,PID,105.0,45.0,30,0,None,39,None,5
1759845632.456826,1.110720872879028,66.84000000000001,None,75,150,PID,233.16,-83.16000000000001,-6,0,None,39,None,6
1759845632.626954,1.28168797492981,102.42,None,76,150,PID,197.58,-47.58,-43,0,None,39,None,7
1759845632.797628,1.451700925827026,221.7,None,11,150,PID,78.3,71.70000000000001,-15,0,None,39,None,8
1759845632.967145,1.621653079986572,186.24,None,10,150,PID,113.76,36.24000000000001,14,0,None,39,None,9
1759845633.137176,1.788506984710693,73.92,None,71,150,PID,226.08,-76.08000000000001,-18,0,None,39,None,10
1759845633.307408,1.961904048919678,112.32,None,69,150,PID,187.68,-37.68,-48,0,None,39,None,11
1759845633.475246,2.130055904388428,215.34,None,12,150,PID,84.66000000000001,65.33999999999999,-21,0,None,39,None,12
1759845633.645784,2.30042290687561,188.34,None,9,150,PID,111.66,38.34,9,0,None,39,None,13
1759845633.826718,2.475363969802856,65.58000000000002,None,75,150,PID,234.42,-84.41999999999998,-27,0,None,39,None,14
1759845633.995009,2.649785041809082,97.44,None,78,150,PID,202.56,-52.56,-66,0,None,39,None,15
1759845634.163114,2.81389307975769,225.24,None,9,150,PID,74.75999999999999,75.24000000000001,-36,0,None,39,None,16
1759845634.333561,2.983557939529419,187.5,None,8,150,PID,112.5,37.5,-5,0,None,39,None,17
1759845634.534708,3.189378976821899,155.28,None,26,150,PID,144.72,5.279999999999999,8,0,None,39,None,18
1759845634.704856,3.359333038330078,98.04000000000002,None,63,150,PID,201.96,-51.96,-16,0,None,39,None,19
1759845634.883767,3.538441896438599,217.38,None,10,150,PID,82.62,67.38,13,0,None,39,None,20
1759845635.048724,3.702560901641846,189.18,None,9,150,PID,110.82,39.18,43,0,None,39,None,21
1759845635.224662,3.879404067993164,69.48,None,74,150,PID,230.52,-80.52000000000001,8,0,None,39,None,22
1759845635.393627,4.04469895362854,97.08,None,79,150,PID,202.92,-52.92000000000001,-32,0,None,39,None,23
1759845635.557481,4.211724042892456,224.16,None,11,150,PID,75.84000000000001,74.16,-4,0,None,39,None,24
1759845635.7352,4.384038925170898,190.62,None,8,150,PID,109.38,40.61999999999999,27,0,None,39,None,25
1759845635.906268,4.560746908187866,188.82,None,9,150,PID,111.18,38.82,57,0,None,39,None,26
1759845636.085319,4.740035057067871,62.88,None,78,150,PID,237.12,-87.12000000000002,18,0,None,39,None,27
1759845636.25553,4.905579090118408,105.66,None,76,150,PID,194.34,-44.34,-19,0,None,39,None,28
1759845636.424246,5.074050903320313,104.1,None,75,150,PID,195.9,-45.89999999999999,-55,0,None,39,None,29
1759845636.617867,5.272598028182983,222.24,None,10,150,PID,77.76000000000001,72.24,-26,0,None,39,None,30
1759845636.784563,5.435833930969238,186.84,None,9,150,PID,113.16,36.84000000000001,4,0,None,39,None,31
1759845636.953317,5.608016967773438,111.78,None,50,150,PID,188.22,-38.22,-7,0,None,39,None,32
1759845637.125655,5.775807857513428,174.78,None,29,150,PID,125.22,24.78,3,0,None,39,None,33
1759845637.308273,5.962591886520386,188.82,None,15,150,PID,111.18,38.82,27,0,None,39,None,34
1759845637.476779,6.131433963775635,81.42000000000001,None,69,150,PID,218.58,-68.58000000000001,-3,0,None,39,None,35
1759845637.642786,6.296781063079834,100.86,None,75,150,PID,199.14,-49.14,-39,0,None,39,None,36
1759845637.817137,6.471637964248657,223.2,None,10,150,PID,76.80000000000001,73.19999999999999,-10,0,None,39,None,37
1759845637.984553,6.63432788848877,187.8,None,9,150,PID,112.2,37.80000000000001,20,0,None,39,None,38
1759845638.147117,6.80155086517334,136.92,None,37,150,PID,163.08,-13.08,22,0,None,39,None,39
1759845638.317065,6.971554040908813,111.06,None,60,150,PID,188.94,-38.94,1,0,None,39,None,40
1759845638.498218,7.152726888656616,216.6,None,10,150,PID,83.40000000000002,66.6,30,0,None,39,None,41
1759845638.686471,7.340465068817139,192.06,None,8,150,PID,107.94,42.06,61,0,None,39,None,42
1759845638.856559,7.510428905487061,75.54000000000001,None,71,150,PID,224.46,-74.46,29,0,None,39,None,43
1759845639.024446,7.6788649559021,94.68000000000002,None,80,150,PID,205.32,-55.32,-12,0,None,39,None,44
1759845639.193887,7.84417200088501,145.98,None,54,150,PID,154.02,-4.020000000000001,-27,0,None,39,None,45
1759845639.3629,8.012871980667114,211.32,None,10,150,PID,88.68,61.32,2,0,None,39,None,46
1759845639.534701,8.184540987014771,158.76,None,25,150,PID,141.24,8.760000000000002,16,0,None,39,None,47
1759845639.726421,8.380539894104004,81.18,None,72,150,PID,218.82,-68.82000000000001,-17,0,None,39,None,48
1759845639.894547,8.544884920120239,127.86,None,61,150,PID,172.14,-22.14,-39,0,None,39,None,49
1759845640.068376,8.722445964813232,216.66,None,9,150,PID,83.34000000000001,66.66,-9,0,None,39,None,50
1759845640.236992,8.890912055969238,187.26,None,9,150,PID,112.74,37.26,21,0,None,39,None,51
1759845640.41769,9.070940971374512,73.74000000000001,None,71,150,PID,226.26,-76.25999999999999,-11,0,None,39,None,52
1759845640.587574,9.24229097366333,110.88,None,70,150,PID,189.12,-39.12,-42,0,None,39,None,53
1759845640.786876,9.441605091094971,234.9,None,2,150,PID,65.1,84.9,-5,0,None,39,None,54
1759845640.952932,9.603772878646851,194.46,None,3,150,PID,105.54,44.46,31,0,None,39,None,55
1759845641.126495,9.774430990219116,147.0,None,30,150,PID,153.0,-3.0,40,0,None,39,None,56
1759845641.306748,9.96132493019104,87.48000000000001,None,71,150,PID,212.52,-62.52,8,0,None,39,None,57
1759845641.475437,10.12991499900818,212.46,None,16,150,PID,87.54000000000001,62.46,31,0,None,39,None,58
1759845641.65464,10.30573892593384,193.86,None,9,150,PID,106.14,43.86,61,0,None,39,None,59
1759845641.826642,10.47633099555969,74.28000000000001,None,72,150,PID,225.72,-75.72,28,0,None,39,None,60
1759845641.995125,10.6464569568634,106.38,None,74,150,PID,193.62,-43.62000000000001,-7,0,None,39,None,61
1759845642.165754,10.82032108306885,192.9,None,27,150,PID,107.1,42.9,5,0,None,39,None,62
1759845642.334509,10.98423194885254,198.9,None,9,150,PID,101.1,48.90000000000001,35,0,None,39,None,63
