Time in ms, Reflection, Error, Distance in mm, Command, Kp, Ki, Kd
373, 48, 8, 0, 10.5, 1.2, 0.1, 0.001
547, 54, 14, 18, 19.075, 1.2, 0.1, 0.001
724, 32, -8, 57, -8.475, 1.2, 0.1, 0.001
902, 9, -31, 94, -39.1875, 1.2, 0.1, 0.001
1090, 8, -32, 114, -43.3125, 1.2, 0.1, 0.001
1262, 28, -12, 125, -20.25, 1.2, 0.1, 0.001
1432, 72, 32, 151, 36.05, 1.2, 0.1, 0.001
1603, 9, -31, 171, -43.9875, 1.2, 0.1, 0.001
1781, 9, -31, 181, -46.3, 1.2, 0.1, 0.001
1952, 24, -16, 191, -29.7125, 1.2, 0.1, 0.001
2124, 49, 9, 202, 1.312499999999998, 1.2, 0.1, 0.001
2304, 45, 5, 230, -3.350000000000001, 1.2, 0.1, 0.001
2481, 8, -32, 267, -51.3625, 1.2, 0.1, 0.001
2651, 9, -31, 287, -52.7875, 1.2, 0.1, 0.001
2827, 8, -32, 297, -57.21250000000001, 1.2, 0.1, 0.001
3009, 44, 4, 309, -13.15, 1.2, 0.1, 0.001
3189, 68, 28, 338, 18.3, 1.2, 0.1, 0.001
3362, 82, 42, 358, 39.175, 1.2, 0.1, 0.001
3541, 34, -6, 368, -19.8, 1.2, 0.1, 0.001
3711, 10, -30, 394, -51.3, 1.2, 0.1, 0.001
3893, 40, 0, 415, -14.625, 1.2, 0.1, 0.001
4079, 51, 11, 445, -0.5625000000000011, 1.2, 0.1, 0.001
4262, 63, 23, 483, 16.15, 1.2, 0.1, 0.001
4441, 61, 21, 503, 15.675, 1.2, 0.1, 0.001
4619, 36, -4, 514, -15.0125, 1.2, 0.1, 0.001
4792, 36, -4, 541, -15.1, 1.2, 0.1, 0.001
4961, 65, 25, 577, 22.5625, 1.2, 0.1, 0.001
5140, 38, -2, 597, -10.7375, 1.2, 0.1, 0.001
5313, 18, -22, 623, -36.85, 1.2, 0.1, 0.001
5491, 68, 28, 644, 26.82500000000001, 1.2, 0.1, 0.001
5669, 58, 18, 655, 15.875, 1.2, 0.1, 0.001
5843, 33, -7, 665, -15.0125, 1.2, 0.1, 0.001
6026, 37, -3, 694, -10.15, 1.2, 0.1, 0.001
6215, 36, -4, 734, -11.8125, 1.2, 0.1, 0.001
6388, 58, 18, 770, 16.675, 1.2, 0.1, 0.001
6563, 73, 33, 790, 37.8875, 1.2, 0.1, 0.001
6735, 32, -8, 800, -12.8125, 1.2, 0.1, 0.001
6913, 28, -12, 828, -18.35, 1.2, 0.1, 0.001
7097, 34, -6, 868, -11.625, 1.2, 0.1, 0.001
7282, 43, 3, 906, -0.4875000000000005, 1.2, 0.1, 0.001
7462, 78, 38, 944, 45.63750000000001, 1.2, 0.1, 0.001
7634, 16, -24, 963, -32.375, 1.2, 0.1, 0.001
7820, 16, -24, 974, -34.0, 1.2, 0.1, 0.001
7992, 64, 24, 985, 26.6, 1.2, 0.1, 0.001
8172, 66, 26, 996, 31.025, 1.2, 0.1, 0.001
8352, 19, -21, 1007, -28.0875, 1.2, 0.1, 0.001
8529, 20, -20, 1017, -28.2875, 1.2, 0.1, 0.001
8703, 60, 20, 1028, 22.2, 1.2, 0.1, 0.001
8881, 63, 23, 1038, 27.6375, 1.2, 0.1, 0.001
9057, 23, -17, 1049, -22.6, 1.2, 0.1, 0.001
9234, 21, -19, 1059, -26.425, 1.2, 0.1, 0.001
9410, 53, 13, 1070, 13.7, 1.2, 0.1, 0.001
9581, 62, 22, 1096, 26.4125, 1.2, 0.1, 0.001
9758, 72, 32, 1117, 41.62500000000001, 1.2, 0.1, 0.001
9944, 15, -25, 1128, -30.1125, 1.2, 0.1, 0.001
10116, 11, -29, 1138, -37.14999999999999, 1.2, 0.1, 0.001
10282, 36, -4, 1148, -7.1875, 1.2, 0.1, 0.001
10461, 66, 26, 1176, 31.475, 1.2, 0.1, 0.001
10639, 59, 19, 1196, 24.5125, 1.2, 0.1, 0.001
10817, 21, -19, 1207, -23.375, 1.2, 0.1, 0.001
10984, 19, -21, 1217, -27.425, 1.2, 0.1, 0.001
11152, 60, 20, 1227, 24.3125, 1.2, 0.1, 0.001
11342, 63, 23, 1238, 29.7375, 1.2, 0.1, 0.001
11520, 11, -29, 1249, -36.25, 1.2, 0.1, 0.001
11698, 10, -30, 1260, -39.8125, 1.2, 0.1, 0.001
11872, 47, 7, 1270, 5.762500000000001, 1.2, 0.1, 0.001
12060, 67, 27, 1300, 32.25, 1.2, 0.1, 0.001
12244, 70, 30, 1320, 38.6375, 1.2, 0.1, 0.001
12416, 53, 13, 1330, 19.2875, 1.2, 0.1, 0.001
12583, 22, -18, 1355, -19.8875, 1.2, 0.1, 0.001
12761, 83, 43, 1376, 58.76250000000001, 1.2, 0.1, 0.001
12932, 59, 19, 1386, 30.8, 1.2, 0.1, 0.001
13108, 11, -29, 1396, -30.0, 1.2, 0.1, 0.001
13282, 11, -29, 1407, -32.3, 1.2, 0.1, 0.001
13456, 43, 3, 1418, 6.800000000000001, 1.2, 0.1, 0.001
13629, 69, 29, 1444, 40.825, 1.2, 0.1, 0.001
13800, 78, 38, 1464, 55.2125, 1.2, 0.1, 0.001
13978, 43, 3, 1474, 12.9625, 1.2, 0.1, 0.001
14156, 14, -26, 1502, -24.3625, 1.2, 0.1, 0.001
14333, 88, 48, 1523, 70.52499999999999, 1.2, 0.1, 0.001
14512, 76, 36, 1534, 58.65, 1.2, 0.1, 0.001
14691, 11, -29, 1544, -22.91249999999999, 1.2, 0.1, 0.001
14868, 11, -29, 1555, -25.0, 1.2, 0.1, 0.001
15047, 11, -29, 1566, -27.9, 1.2, 0.1, 0.001
15226, 10, -30, 1577, -32.11250000000001, 1.2, 0.1, 0.001
15399, 67, 27, 1587, 39.7125, 1.2, 0.1, 0.001
15578, 74, 34, 1597, 50.8875, 1.2, 0.1, 0.001
15760, 23, -17, 1609, -12.7375, 1.2, 0.1, 0.001
15940, 11, -29, 1619, -29.55, 1.2, 0.1, 0.001
16112, 45, 5, 1630, 12.325, 1.2, 0.1, 0.001
16290, 71, 31, 1658, 46.525, 1.2, 0.1, 0.001
16470, 69, 29, 1678, 46.675, 1.2, 0.1, 0.001
16650, 39, -1, 1689, 10.225, 1.2, 0.1, 0.001
16823, 17, -23, 1715, -18.375, 1.2, 0.1, 0.001
17006, 89, 49, 1736, 74.10000000000001, 1.2, 0.1, 0.001
17192, 50, 10, 1748, 26.9125, 1.2, 0.1, 0.001
17369, 10, -30, 1775, -24.1, 1.2, 0.1, 0.001
17547, 22, -18, 1794, -10.85, 1.2, 0.1, 0.001
17723, 38, -2, 1805, 8.199999999999999, 1.2, 0.1, 0.001
17893, 61, 21, 1831, 37.98750000000001, 1.2, 0.1, 0.001
18072, 74, 34, 1851, 56.8625, 1.2, 0.1, 0.001
18262, 13, -27, 1862, -19.9625, 1.2, 0.1, 0.001
18440, 8, -32, 1873, -28.4625, 1.2, 0.1, 0.001
18609, 29, -11, 1884, -4.037499999999999, 1.2, 0.1, 0.001
18790, 70, 30, 1912, 48.4125, 1.2, 0.1, 0.001
18965, 76, 36, 1932, 58.775, 1.2, 0.1, 0.001
19145, 17, -23, 1943, -15.1375, 1.2, 0.1, 0.001
19317, 7, -33, 1953, -29.825, 1.2, 0.1, 0.001
19492, 19, -21, 1964, -17.25, 1.2, 0.1, 0.001
19665, 65, 25, 1974, 40.875, 1.2, 0.1, 0.001
19840, 75, 35, 1984, 55.925, 1.2, 0.1, 0.001
20026, 13, -27, 1996, -22.075, 1.2, 0.1, 0.001
20211, 9, -31, 2007, -29.25, 1.2, 0.1, 0.001
20385, 46, 6, 2017, 16.2625, 1.2, 0.1, 0.001
20569, 74, 34, 2047, 53.15, 1.2, 0.1, 0.001
20743, 75, 35, 2067, 57.51250000000001, 1.2, 0.1, 0.001
20921, 28, -12, 2077, -0.6874999999999979, 1.2, 0.1, 0.001
21100, 10, -30, 2105, -24.925, 1.2, 0.1, 0.001
21271, 90, 50, 2125, 77.3, 1.2, 0.1, 0.001
21453, 75, 35, 2136, 61.6125, 1.2, 0.1, 0.001
21653, 10, -30, 2148, -20.0125, 1.2, 0.1, 0.001
21835, 10, -30, 2159, -22.2, 1.2, 0.1, 0.001
22017, 11, -29, 2170, -23.8875, 1.2, 0.1, 0.001
22199, 10, -30, 2181, -28.1125, 1.2, 0.1, 0.001
22381, 57, 17, 2192, 30.5875, 1.2, 0.1, 0.001
22558, 71, 31, 2202, 50.075, 1.2, 0.1, 0.001
22737, 48, 8, 2213, 22.8125, 1.2, 0.1, 0.001
22910, 30, -10, 2240, 0.275, 1.2, 0.1, 0.001
23091, 74, 34, 2278, 57.25, 1.2, 0.1, 0.001
23269, 76, 36, 2298, 62.725, 1.2, 0.1, 0.001
23440, 76, 36, 2308, 66.3, 1.2, 0.1, 0.001
23610, 10, -30, 2318, -16.725, 1.2, 0.1, 0.001
23781, 8, -32, 2328, -21.52499999999999, 1.2, 0.1, 0.001
23954, 9, -31, 2338, -23.3875, 1.2, 0.1, 0.001
24139, 63, 23, 2350, 44.375, 1.2, 0.1, 0.001
24316, 70, 30, 2360, 55.18750000000001, 1.2, 0.1, 0.001
24490, 11, -29, 2371, -19.3375, 1.2, 0.1, 0.001
24663, 8, -32, 2381, -25.4375, 1.2, 0.1, 0.001
24843, 18, -22, 2392, -15.475, 1.2, 0.1, 0.001
25026, 61, 21, 2403, 38.6375, 1.2, 0.1, 0.001
25203, 59, 19, 2413, 37.575, 1.2, 0.1, 0.001
25379, 18, -22, 2424, -14.3125, 1.2, 0.1, 0.001
25559, 10, -30, 2435, -26.5, 1.2, 0.1, 0.001
