time, dt, v_left_deg_s, v_right_deg_s, v_left_mm_s, v_right_mm_s, v_real_mm_s, w_real_rad_s, reflection, error, command, drive_speed, turn_rate, distance_total, delta_d, x_odo, y_odo, theta_odo_deg, x_gyro, y_gyro, theta_gyro_deg, x_model, y_model, theta_model_deg, x_kalman, y_kalman, theta_kalman_deg, v_odo, v_gyro, v_model
0.16, 0.29, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, 29, 17.8705, 70, 17.8705, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0
0.3, 0.141, 272, 180, 104.4405024393407, 69.11503837897545, 86.77777040915805, 0.2943788671697102, 67, 27, 16.58770780141844, 70, 16.58770780141844, 7, 12.23566562769129, 12.22512693511792, -0.5077250958149344, 2.3782, 12.22821199078752, -0.4270185722265165, 2, 12.22512693511792, -0.5077250958149344, 2.3782, 12.22558969346836, -0.4956191172766717, 2.32147, 86.77777040915805, 86.77777040915805, 86.77777040915805
0.4, 0.1, 218, 140, 83.70599092564804, 53.75614096142534, 68.73106594353669, 0.2495820830351891, 68, 28, 17.225, 70, 17.225, 14, 6.873106594353671, 19.08305752557966, -0.964214168802526, 3.8082, 19.08457604291847, -0.9064622519161228, 4, 19.08305752557966, -0.964214168802526, 3.8082, 19.08328530318048, -0.9555513812695656, 3.83697, 68.73106594353669, 68.73106594353669, 68.73106594353669
0.49, 0.09099999999999998, 220, 133, 84.47393579652553, 51.06833391335408, 67.77113485493981, 0.2783800156930955, 67, 27, 16.69955549450549, 70, 16.69955549450549, 20, 6.16717327179952, 25.22426392885603, -1.529554841986092, 5.25965, 25.21796489425309, -1.551107396722673, 6, 25.22426392885603, -1.529554841986092, 5.259649999999999, 25.22331907366559, -1.532787725196579, 5.3707025, 67.77113485493981, 67.77113485493981, 67.77113485493981
0.58, 0.08399999999999997, 234, 133, 89.84954989266809, 51.06833391335408, 70.45894190301109, 0.3231767998276167, 65, 25, 15.55929523809524, 70, 15.55929523809524, 26, 5.918551119852928, 31.10099677078883, -2.23187845888993, 6.815049999999999, 31.04659992368334, -2.578853013113704, 10, 31.10099677078883, -2.23187845888993, 6.815049999999998, 31.092837243723, -2.283924642023496, 7.292792499999999, 70.45894190301109, 70.45894190301109, 70.45894190301109
0.67, 0.09700000000000008, 219, 154, 84.08996336108679, 59.13175505756788, 71.61085920932734, 0.2079850691959909, 65, 25, 15.78085, 70, 15.78085, 33, 6.946253343304758, 37.98013864017084, -3.195124351841432, 7.970966666666667, 37.84106096552606, -4.02306029056871, 12, 37.98013864017084, -3.195124351841432, 7.970966666666667, 37.95927698897412, -3.319314742650524, 8.575321666666667, 71.61085920932734, 71.61085920932734, 71.61085920932734
0.77, 0.101, 229, 139, 87.92968771547432, 53.37216852598659, 70.65092812073046, 0.2879793265790644, 64, 24, 15.3292995049505, 70, 15.3292995049505, 40, 7.135743740193774, 45.01517401201042, -4.389743974432895, 9.637466666666667, 44.73366013395978, -5.869926671501952, 15, 45.01517401201042, -4.389743974432895, 9.637466666666667, 44.97294693030283, -4.611771378993253, 10.44184666666667, 70.65092812073046, 70.65092812073046, 70.65092812073046
0.86, 0.08699999999999996, 224, 135, 86.00982553828056, 51.83627878423159, 68.92305216125607, 0.2847795562837414, 63, 23, 14.69905287356322, 70, 14.69905287356322, 46, 5.996305538029276, 50.90016903873732, -5.5397499052003, 11.05701666666667, 50.43648558959925, -7.722886986217611, 18, 50.90016903873732, -5.539749905200299, 11.05701666666667, 50.83061652136661, -5.867220467352896, 12.09846416666667, 68.92305216125607, 68.92305216125607, 68.92305216125607
0.95, 0.09399999999999997, 221, 143, 84.8579082319643, 54.9080582677416, 69.88298324985294, 0.2495820830351891, 64, 24, 15.49571914893617, 70, 15.49571914893617, 53, 6.569000425486174, 57.31589969543958, -6.950482598054758, 12.40121666666667, 56.6093268153681, -9.96961745324877, 20, 57.31589969543958, -6.950482598054757, 12.40121666666667, 57.20991376342885, -7.40335282633386, 13.54103416666667, 69.88298324985294, 69.88298324985294, 69.88298324985294
1.04, 0.08600000000000009, 231, 143, 88.69763258635182, 54.9080582677416, 71.80284542704671, 0.2815797859884184, 63, 23, 14.89068604651163, 70, 14.89068604651163, 58, 6.175044706726022, 63.31298810099447, -8.42225288788398, 13.78868333333333, 62.33472856867256, -12.28282991502637, 22, 63.31298810099447, -8.422252887883978, 13.78868333333333, 63.16624917114619, -9.001339441955338, 15.02038083333333, 71.80284542704671, 71.80284542704671, 71.80284542704671
1.12, 0.08299999999999997, 215, 148, 82.55407361933178, 56.82792044493537, 69.69099703213357, 0.2143846097866367, 64, 24, 15.56387409638554, 70, 15.56387409638554, 65, 5.784352753667084, 68.90522410589231, -9.900641620383082, 14.8082, 67.57713251228793, -14.72740302107618, 25, 68.90522410589231, -9.90064162038308, 14.8082, 68.70601036685165, -10.62465583048705, 16.33697, 69.69099703213357, 69.69099703213357, 69.69099703213357
1.21, 0.08800000000000008, 229, 139, 87.92968771547432, 53.37216852598659, 70.65092812073046, 0.2879793265790644, 63, 23, 15.12311818181818, 70, 15.12311818181818, 71, 6.217281674624285, 74.87381465658598, -11.6414799988057, 16.2602, 73.11677104709496, -17.54998983556038, 27, 74.87381465658598, -11.6414799988057, 16.2602, 74.61025811516233, -12.52775647431891, 17.87117, 70.65092812073046, 70.65092812073046, 70.65092812073046
1.33, 0.115, 221, 141, 84.8579082319643, 54.1401133968641, 69.49901081441419, 0.2559816236258349, 62, 22, 15.05865217391304, 70, 15.05865217391304, 79, 7.992386243657632, 82.47731276298941, -14.10421311746215, 17.94686666666666, 80.03838057095974, -21.5461829573892, 30, 82.47731276298941, -14.10421311746215, 17.94686666666666, 82.11147293418495, -15.22050859345121, 19.75483666666667, 69.49901081441419, 69.49901081441419, 69.49901081441419
1.42, 0.09399999999999986, 217, 143, 83.3220184902093, 54.9080582677416, 69.11503837897545, 0.2367830018538974, 65, 25, 16.65625744680851, 70, 16.65625744680851, 85, 6.496813607623682, 88.6119241961765, -16.24316838020482, 19.22213333333333, 85.48706692910107, -25.08460125131786, 33, 88.6119241961765, -16.24316838020482, 19.22213333333333, 88.14319560611517, -17.56938331087178, 21.28881333333333, 69.11503837897545, 69.11503837897545, 69.11503837897545
1.5, 0.08099999999999996, 235, 134, 90.23352232810684, 51.45230634879283, 70.84291433844983, 0.3231767998276167, 66, 26, 17.12492283950617, 70, 17.12492283950617, 91, 5.738276061414433, 93.97898165481125, -18.27356400488364, 20.72198333333333, 90.18758749550328, -28.37594118542246, 35, 93.97898165481125, -18.27356400488363, 20.72198333333333, 93.41027253091506, -19.78892058196446, 22.86368583333333, 70.84291433844983, 70.84291433844983, 70.84291433844983
1.59, 0.09000000000000007, 225, 149, 86.3937979737193, 57.21189288037412, 71.80284542704671, 0.2431825424445432, 66, 26, 17.4045, 70, 17.4045, 98, 6.462256088434209, 99.97169536575491, -20.69185599121885, 21.97598333333333, 95.34857468274616, -32.26502398289796, 37, 99.97169536575491, -20.69185599121884, 21.97598333333333, 99.2782272633036, -22.42783118997071, 24.22958583333333, 71.80284542704671, 71.80284542704671, 71.80284542704671
