time, error, delta, distance, speed, angle, turn_angle, gyro_cumulative_angle
0, -38, -91.19999999999999, 0, 0, 0, 0, -1
0.1, -34, -47.40000000000001, 7, 134, -7, -125, -2
0.2, 14, 60.4, 34, 236, -14, -26, -7
0.3, 32, 57.0, 59, 222, -14, 70, -10
0.4, -2, -39.4, 83, 225, -6, 43, -5
0.5, -40, -96.8, 109, 215, -5, -61, 0
0.6, 13, 64.40000000000001, 134, 220, -15, -108, -6
0.7, 30, 53.50000000000001, 160, 222, -20, 51, -22
0.7999999999999999, 31, 41.9, 184, 219, -12, 38, -18
0.9, 34, 51.20000000000001, 210, 225, -7, 35, -12
1.0, 41, 68.40000000000001, 235, 219, -1, 61, -8
1.1, -33, -112.1, 259, 220, 6, 70, -1
1.2, -41, -60.6, 285, 215, 7, -76, 4
1.3, 13, 72.90000000000001, 309, 234, -3, -52, -6
1.4, 35, 73.00000000000001, 334, 219, -4, 69, -13
1.5, 42, 71.3, 360, 225, 7, 65, -4
1.6, 42, 68.50000000000001, 386, 216, 15, 73, 5
1.7, 40, 67.90000000000001, 411, 218, 23, 69, 12
1.800000000000001, 33, 57.1, 435, 222, 30, 70, 19
1.900000000000001, 34, 69.80000000000001, 461, 222, 37, 57, 26
2.0, -14, -43.0, 486, 221, 44, 70, 32
2.100000000000001, -38, -54.0, 514, 216, 46, -68, 38
2.200000000000001, 32, 134.2, 538, 222, 39, -54, 30
2.300000000000001, 36, 77.0, 562, 215, 39, 79, 23
2.400000000000001, 40, 86.20000000000001, 590, 236, 52, 68, 35
2.500000000000001, 39, 83.80000000000001, 615, 218, 62, 87, 44
2.600000000000001, -36, -91.30000000000001, 641, 225, 71, 87, 54
2.700000000000001, -39, -27.1, 668, 214, 74, -72, 61
2.800000000000001, -4, 56.00000000000001, 694, 228, 66, -10, 51
2.900000000000001, 35, 114.2, 718, 216, 69, 71, 48
3.000000000000001, -32, -82.09999999999999, 743, 220, 80, 123, 57
3.100000000000001, -40, -37.5, 769, 220, 87, -38, 70
3.200000000000002, -41, -35.90000000000001, 795, 225, 79, -22, 65
3.300000000000002, -43, -43.8, 819, 219, 75, -32, 59
3.400000000000002, -15, 21.1, 844, 218, 71, -48, 54
3.500000000000002, 28, 94.8, 868, 219, 71, 37, 49
3.600000000000002, 40, 83.40000000000002, 895, 218, 79, 113, 56
3.700000000000002, 33, 58.59999999999999, 919, 220, 89, 84, 68
3.800000000000002, 35, 73.70000000000001, 945, 219, 96, 49, 74
3.900000000000002, 32, 68.00000000000001, 970, 218, 104, 79, 80
4.000000000000002, -41, -101.0, 996, 219, 113, 68, 90
4.100000000000001, -40, -29.7, 1023, 212, 114, -76, 94
4.200000000000001, 29, 130.9, 1048, 239, 105, -16, 82
4.300000000000001, 40, 91.20000000000001, 1073, 206, 109, 103, 79
4.4, 7, 5.0, 1103, 236, 124, 81, 92
4.5, -40, -74.1, 1128, 217, 128, -19, 100
4.6, -38, -26.3, 1154, 219, 123, -90, 95
4.699999999999999, 41, 157.5, 1178, 224, 117, -11, 85
4.799999999999999, 43, 87.4, 1202, 211, 121, 99, 84
