time, error, delta, distance, speed, angle, turn_angle, gyro_cumulative_angle
0, -42, -100.8, 0, 0, 0, 0, -1
0.1, -17, -3.0, 15, 195, -10, -107, -1
0.2, 15, 47.1, 45, 259, -18, 3, -4
0.3, -25, -79.40000000000001, 71, 215, -13, 60, -2
0.4, -41, -80.30000000000001, 98, 211, -15, -85, 4
0.5, -31, -44.4, 124, 230, -25, -79, 0
0.6, 33, 96.09999999999999, 148, 215, -31, -29, -15
0.7, 31, 30.6, 172, 227, -31, 67, -18
0.7999999999999999, 30, 33.3, 197, 228, -22, 13, -10
0.9, -12, -63.50000000000001, 223, 221, -19, 46, -5
1.0, -38, -85.1, 248, 216, -21, -80, -5
1.1, 31, 102.7, 273, 223, -31, -89, -15
1.2, 36, 48.80000000000001, 297, 220, -35, 34, -24
1.3, 35, 45.0, 323, 233, -26, 45, -20
1.4, 33, 44.7, 349, 215, -21, 48, -14
1.5, 33, 50.0, 377, 221, -16, 47, -10
1.6, 35, 58.1, 403, 222, -9, 51, -4
1.7, 36, 62.00000000000001, 428, 218, -3, 60, 1
1.800000000000001, 40, 74.20000000000001, 453, 219, 4, 62, 8
1.900000000000001, 43, 81.40000000000001, 478, 218, 12, 74, 15
2.0, 32, 56.30000000000002, 502, 221, 21, 83, 23
2.100000000000001, 34, 75.30000000000001, 529, 218, 29, 49, 31
2.200000000000001, -33, -84.1, 555, 220, 36, 83, 37
2.300000000000001, -41, -39.6, 581, 214, 39, -62, 45
2.400000000000001, -41, -35.7, 605, 229, 31, -35, 42
2.500000000000001, 35, 142.6, 629, 212, 27, -32, 31
2.600000000000001, 40, 82.09999999999999, 654, 217, 29, 79, 28
2.700000000000001, 40, 81.09999999999999, 678, 243, 43, 96, 39
2.800000000000001, -38, -102.1, 705, 216, 52, 80, 51
2.900000000000001, -39, -30.3, 730, 214, 55, -53, 56
3.000000000000001, -14, 26.8, 755, 239, 46, -42, 51
3.100000000000001, 37, 122.8, 780, 211, 47, 45, 42
3.200000000000002, 42, 87.5, 805, 212, 57, 131, 49
3.300000000000002, -41, -112.5, 832, 229, 70, 82, 66
3.400000000000002, -42, -36.0, 858, 215, 73, -56, 73
3.500000000000002, -42, -39.2, 882, 246, 63, -55, 63
3.600000000000002, -6, 43.0, 907, 210, 59, -36, 54
3.700000000000002, 43, 124.0, 931, 227, 60, 56, 53
3.800000000000002, 33, 55.3, 955, 210, 70, 130, 59
3.900000000000002, -9, -32.20000000000001, 982, 227, 81, 36, 72
4.000000000000002, -33, -48.70000000000001, 1007, 220, 81, -51, 76
4.100000000000001, 39, 144.8, 1033, 221, 75, -50, 69
4.200000000000001, 39, 76.70000000000001, 1056, 214, 75, 64, 62
4.300000000000001, 28, 54.20000000000001, 1080, 246, 87, 96, 70
4.4, 30, 72.8, 1109, 218, 95, 43, 79
4.5, 33, 81.0, 1134, 222, 102, 85, 83
4.6, 29, 71.70000000000001, 1158, 221, 111, 82, 92
4.699999999999999, -40, -87.00000000000001, 1184, 219, 120, 71, 101
4.799999999999999, -39, -19.6, 1210, 211, 121, -74, 106
4.899999999999999, -38, -22.1, 1236, 236, 113, -4, 97
4.999999999999998, -38, -26.9, 1260, 209, 112, -22, 91
5.099999999999998, -40, -35.5, 1285, 227, 109, -29, 89
5.199999999999998, -18, 15.3, 1310, 219, 106, -34, 84
5.299999999999997, 18, 77.90000000000001, 1334, 222, 105, 23, 80
5.399999999999997, 0, 0.5, 1358, 220, 111, 92, 84
5.499999999999996, -40, -77.5, 1385, 221, 115, -23, 93
5.599999999999996, -41, -43.90000000000001, 1410, 217, 110, -89, 89
5.699999999999996, 19, 97.00000000000001, 1435, 229, 103, -33, 77
5.799999999999995, 36, 79.70000000000001, 1460, 211, 104, 84, 73
5.899999999999995, -39, -113.7, 1486, 239, 116, 81, 84
