time, error, delta, distance, speed, angle, turn_angle, gyro_cumulative_angle
0, 11, 26.4, 0, 0, 0, 0, 0
0.1, 10, 14.1, 10, 171, 3, 23, 1
0.2, 11, 18.5, 39, 236, 5, 12, 3
0.3, 14, 25.8, 65, 219, 7, 20, 3
0.4, 11, 17.0, 89, 223, 10, 29, 5
0.5, 13, 25.9, 115, 213, 12, 17, 7
0.6, 13, 0, 141, 207, 15, 32, 8
0.7, 9, 0, 161, 78, 15, -8, 2
0.7999999999999999, -6, -23.4, 160, -3, 15, 4, 1
0.9, 5, 17.4, 168, 154, 13, -26, -1
1.0, 7, 11.7, 196, 224, 14, 34, -1
1.1, 11, 20.0, 222, 222, 15, 12, -3
1.2, 10, 14.7, 248, 220, 18, 10, -3
1.3, 9, 14.3, 274, 220, 20, 12, -5
1.4, 11, 21.0, 301, 217, 21, 12, -5
1.5, 12, 22.5, 327, 224, 24, 21, -6
