time, error, delta, distance, speed, angle, turn_angle, gyro_cumulative_angle
0, -39, -93.59999999999999, 0, 0, 0, 0, 0
0.1, -39, -58.50000000000001, 9, 161, -8, -113, -1
0.2, -39, -62.40000000000001, 36, 234, -16, -54, -4
0.3, 30, 99.3, 59, 228, -23, -64, -5
0.4, 30, 33.3, 84, 215, -24, 68, -13
0.5, 33, 43.50000000000001, 108, 239, -15, 16, -5
0.6, 31, 39.00000000000001, 133, 214, -11, 44, -2
0.7, 20, 17.7, 159, 222, -7, 46, 2
0.7999999999999999, -15, -53.3, 185, 213, -4, 12, 5
0.9, -32, -60.6, 209, 220, -7, -73, 5
1.0, 35, 114.0, 235, 217, -15, -56, -2
1.1, 32, 43.30000000000001, 260, 220, -15, 75, -6
1.2, 35, 56.70000000000001, 284, 240, -5, 33, 3
1.3, -31, -101.2, 310, 212, 0, 57, 7
1.4, -42, -64.70000000000001, 334, 223, 1, -67, 11
1.5, 9, 64.5, 359, 227, -9, -50, 3
1.6, 20, 40.8, 383, 215, -10, 61, -2
1.7, 28, 51.00000000000001, 409, 223, -4, 23, 6
1.800000000000001, 28, 45.8, 435, 214, 2, 47, 10
1.900000000000001, 30, 53.4, 460, 220, 7, 46, 16
2.0, 31, 56.80000000000001, 487, 220, 14, 54, 20
2.100000000000001, 40, 80.50000000000001, 515, 220, 20, 55, 26
2.200000000000001, 31, 53.90000000000001, 539, 219, 29, 85, 32
2.300000000000001, 23, 46.80000000000001, 564, 220, 36, 45, 41
2.400000000000001, 33, 81.09999999999999, 592, 222, 41, 41, 45
2.500000000000001, 33, 74.40000000000001, 618, 217, 50, 95, 52
2.600000000000001, 32, 75.30000000000001, 643, 218, 59, 72, 60
2.700000000000001, 19, 48.3, 668, 218, 67, 77, 67
2.800000000000001, 20, 65.6, 694, 221, 74, 45, 74
2.900000000000001, -16, -19.8, 719, 215, 81, 67, 79
3.000000000000001, -40, -43.0, 745, 216, 83, -40, 84
3.100000000000001, -30, 1.0, 770, 223, 78, -43, 83
3.200000000000002, 29, 129.6, 794, 219, 77, 15, 76
3.300000000000002, 14, 37.5, 818, 215, 83, 117, 79
3.400000000000002, -36, -66.09999999999999, 845, 237, 93, 11, 89
3.500000000000002, -37, -22.1, 868, 222, 91, -72, 91
3.600000000000002, 29, 133.6, 893, 225, 86, 0, 86
3.700000000000002, 40, 96.90000000000001, 917, 211, 90, 102, 85
3.800000000000002, 31, 68.30000000000002, 942, 244, 104, 95, 96
3.900000000000002, -26, -56.40000000000001, 968, 215, 112, 54, 104
4.000000000000002, -42, -40.4, 994, 218, 113, -60, 109
4.100000000000001, 14, 105.8, 1019, 221, 107, -29, 104
4.200000000000001, 35, 101.6, 1042, 212, 108, 79, 101
4.300000000000001, 35, 84.1, 1067, 242, 122, 111, 110
4.4, -14, -30.0, 1093, 210, 132, 79, 121
4.5, -38, -40.0, 1120, 217, 134, -50, 126
4.6, 30, 143.4, 1146, 217, 129, -45, 125
4.699999999999999, 23, 61.60000000000001, 1170, 214, 131, 92, 118
4.799999999999999, 21, 66.10000000000001, 1196, 243, 144, 56, 130
4.899999999999999, -35, -64.19999999999999, 1222, 214, 151, 63, 136
4.999999999999998, -38, -18.9, 1248, 220, 152, -62, 141
5.099999999999998, -40, -24.5, 1273, 224, 147, -1, 138
5.199999999999998, -41, -28.90000000000001, 1297, 220, 145, -26, 135
5.299999999999997, -32, -10.4, 1322, 214, 142, -30, 133
5.399999999999997, -1, 51.8, 1346, 216, 140, -8, 129
5.499999999999996, 5, 35.1, 1370, 228, 143, 66, 129
5.599999999999996, -41, -80.80000000000002, 1396, 219, 148, 27, 135
5.699999999999996, -41, -38.90000000000001, 1420, 217, 146, -91, 136
5.799999999999995, -1, 53.00000000000001, 1445, 223, 139, -14, 132
5.899999999999995, 4, 24.9, 1470, 221, 141, 72, 128
5.999999999999995, -41, -87.70000000000001, 1496, 225, 145, 10, 134
6.099999999999994, -9, 30.0, 1520, 215, 142, -96, 134
6.199999999999994, -15, -17.3, 1544, 232, 137, 47, 125
6.299999999999994, 20, 71.20000000000001, 1568, 221, 138, -45, 127
6.399999999999993, 27, 55.0, 1594, 217, 142, 93, 127
6.499999999999993, -23, -69.3, 1619, 221, 149, 44, 135
6.599999999999993, -14, 1.77635683940025e-15, 1647, 221, 147, -88, 137
6.699999999999992, -12, -5.600000000000001, 1672, 222, 144, 27, 135
6.799999999999992, -5, 8.0, 1696, 222, 143, -10, 131
6.899999999999991, -3, 5.3, 1722, 223, 144, 4, 131
6.999999999999991, -19, -35.4, 1748, 214, 145, 3, 132
7.099999999999991, -10, 0.3000000000000007, 1772, 221, 142, -46, 131
7.19999999999999, 26, 76.70000000000001, 1797, 217, 141, 5, 127
7.29999999999999, 5, -7.1, 1821, 219, 146, 97, 131
7.39999999999999, -41, -96.00000000000001, 1848, 221, 150, -33, 138
7.499999999999989, -40, -51.70000000000001, 1871, 214, 144, -107, 138
7.599999999999989, 40, 135.3, 1896, 226, 135, -28, 133
7.699999999999989, 41, 61.70000000000001, 1920, 209, 136, 78, 122
7.799999999999988, 1, -31.2, 1945, 253, 148, 69, 132
7.899999999999988, -42, -94.30000000000001, 1970, 208, 148, -48, 137
7.999999999999988, -1, 42.9, 1995, 224, 140, -109, 132
8.099999999999987, 20, 52.20000000000001, 2019, 216, 135, 34, 124
8.199999999999987, 38, 76.40000000000001, 2043, 224, 142, 51, 125
8.299999999999986, 29, 40.6, 2068, 216, 150, 80, 132
8.399999999999986, -39, -110.7, 2094, 214, 156, 35, 138
8.499999999999986, -41, -51.40000000000001, 2120, 216, 153, -98, 139
8.599999999999985, -43, -58.3, 2144, 229, 143, -35, 132
8.699999999999985, -42, -58.2, 2169, 216, 138, -59, 127
8.799999999999985, -37, -51.40000000000001, 2193, 220, 131, -61, 122
8.899999999999984, -9, 7.099999999999998, 2219, 212, 125, -49, 116
8.999999999999984, 9, 21.4, 2243, 224, 123, 20, 110
9.099999999999984, -42, -118.1, 2267, 218, 126, 25, 113
9.199999999999983, -42, -71.3, 2293, 210, 122, -109, 113
9.299999999999983, -41, -73.10000000000001, 2318, 235, 110, -60, 103
9.399999999999983, -14, -13.40000000000001, 2342, 220, 103, -69, 96
9.499999999999982, 23, 47.0, 2366, 220, 99, -2, 90
9.599999999999982, -34, -124.5, 2390, 217, 102, 67, 92
9.699999999999982, -41, -87.70000000000001, 2416, 214, 101, -91, 96
9.799999999999981, -41, -84.80000000000002, 2442, 237, 88, -77, 94
9.899999999999981, 16, 47.9, 2465, 218, 79, -83, 83
9.99999999999998, 27, 18.9, 2490, 216, 76, 36, 69
10.09999999999998, -13, -85.40000000000001, 2514, 224, 80, 1, 75
10.19999999999998, -41, -113.9, 2539, 211, 75, -102, 75
10.29999999999998, 31, 82.80000000000001, 2564, 222, 62, -117, 67
10.39999999999998, 35, 23.5, 2588, 221, 56, 20, 58
10.49999999999998, 32, 15.8, 2613, 222, 62, 3, 59
10.59999999999998, -41, -153.2, 2639, 214, 64, 13, 61
10.69999999999998, -42, -86.7, 2664, 211, 60, -103, 62
10.79999999999998, -43, -92.3, 2688, 248, 45, -102, 48
10.89999999999998, -7, -9.200000000000003, 2712, 210, 36, -88, 39
