time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, velocity, turn_rate, reflection, error, command
116, 3.999390780625565, 0.06980962574913406, 1.0, 3.999390780625565, 0.06980962574913406, 1.0, 11.716, 0.0, -0.0, 3.999789193948692, 0.04106584920915962, 0.5882352941176469, 101, 23, 63, 23, 23.258
216, 17.96528748426311, 1.046400258166888, 4.0, 17.96528748426311, 1.046400258166888, 4.0, 24.21525631250187, 0.1363511436772797, 0.625, 17.9811047186594, 0.7641261499333467, 2.960481682496608, 125, 18, 54, 14, 19.64266666666667
327, 30.89407212405066, 2.405270280646383, 6.000000000000001, 31.88859401941893, 2.509798743914037, 6.000000000000001, 37.30453560281775, 0.6142336188822743, 2.090909090909091, 31.92771906582249, 1.985579485720189, 5.005229487442794, 118, 10, 30, -10, 1.875333333333333
454, 45.81190055457476, 3.973197229661185, 6.000000000000001, 45.81190055457475, 3.973197229661185, 6.000000000000001, 53.15680201732006, 1.46351244449968, 3.066666666666666, 45.86685770446748, 3.28957872369314, 5.344436250102188, 125, -5, 17, -23, -11.98666666666667
555, 57.78266915769265, 4.810274914590689, 4.000000000000001, 57.78266915769265, 4.810274914590689, 4.000000000000001, 64.76688829252481, 1.801331452700919, 1.666666666666667, 57.84417763520143, 4.027011620195246, 3.523202624538293, 115, -13, 25, -15, -9.473333333333334
657, 69.76622357474755, 5.438306389506016, 3.000000000000001, 70.7648531095021, 5.490642345748959, 3.000000000000001, 76.90111558365072, 2.103940189017647, 1.428571428571428, 70.8297648885446, 4.638995023410719, 2.69823308291908, 119, -7, 38, -2, -1.237333333333333
774, 83.73212027838509, 6.41489702192377, 4.000000000000001, 84.74566659606614, 6.223345733150174, 3.000000000000001, 90.82085508532385, 2.405239385101984, 1.24, 84.81449468280195, 5.292701824362763, 2.676304592735534, 119, 4, 50, 10, 9.164
885, 97.69801698202263, 7.391487654341525, 4.000000000000001, 97.71399924944385, 7.130179891823802, 4.000000000000001, 104.2442277640945, 2.857817474313804, 1.93103448275862, 97.78840237671863, 6.115938819237138, 3.630737513658094, 121, 4, 37, -3, 0.05800000000000031
994, 110.6663496354003, 8.298321813015153, 4.000000000000001, 110.6823319028216, 8.037014050497431, 4.000000000000001, 117.3110126988455, 3.44563672286183, 2.575757575757576, 110.7605526595142, 6.966419295537076, 3.751059138829825, 120, -6, 29, -11, -7.887999999999999
1094, 122.6371182385182, 9.135399497944658, 4.000000000000001, 122.6531005059394, 8.874091735426935, 4.000000000000001, 129.3008249700585, 3.940006727079713, 2.361111111111111, 122.7353006794365, 7.744500177814826, 3.717670659587009, 120, -7, 46, 6, 4.407999999999999
