time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, reflection, error, command
112, 3.999390780625565, 0.06980962574913406, 1.0, 3.999390780625565, 0.06980962574913406, 1.0, 10.84086722637223, -1.717024688281574, -9.0, 3.960103492324144, -0.5635426603923744, -8.099099099099098, 51, 11, 15.4
232, 22.97335194096247, 1.064192794365067, 3.0, 23.97198147571704, 1.116528750608011, 3.0, 28.98133757648507, -5.243174922840122, -11.0, 23.91054048364676, -1.970690078137296, -4.034513670999555, 37, -3, -1.866666666666666
355, 41.94731310129938, 2.058575962981, 3.0, 41.94731310129938, 2.058575962981, 3.0, 46.30628788068224, -8.925706790604275, -12.0, 41.89144466300383, -2.799595918857216, -2.639422673491651, 42, 2, 4.559523809523809
485, 60.92127426163628, 3.052959131596932, 3.0, 61.91990379639085, 3.105295087839877, 3.0, 66.31984901137097, -13.54620144682726, -13.0, 61.87723926049838, -3.553263157602509, -2.159608922984208, 42, 2, 4.7
605, 78.87742716631312, 4.308575658991188, 4.0, 79.87605670106769, 4.360911615234132, 4.0, 83.90160757149202, -17.92982619509324, -14.0, 79.87227253703634, -3.976083895375793, -1.346004011995219, 37, -3, -1.659523809523809
726, 96.83358007098995, 5.564192186385443, 4.0, 97.83220960574452, 5.616528142628387, 4.0, 101.6669153686006, -22.6900260726188, -15.0, 97.86690373102328, -4.415683932218812, -1.399429514253709, 39, -1, 0.723809523809524
855, 116.7848610761864, 6.95932166126795, 4.0, 116.7859265606812, 6.941901143766768, 4.0, 120.357580107294, -27.69817459535258, -15.0, 116.8622108935002, -4.837946650385252, -1.273466509821213, 48, 8, 12.40714285714286
976, 134.7163656418378, 8.528125030725796, 5.0, 135.7136258244243, 8.597860255972273, 5.0, 137.7145114280232, -33.00472103607025, -17.0, 135.8591430921436, -5.179365806476175, -1.029627873589018, 34, -6, -5.266666666666667
1099, 153.644064905581, 10.1840841429313, 5.0, 153.6451303900757, 10.16666362543012, 5.0, 154.7935843476515, -38.55404822105555, -18.0, 153.8547807179146, -5.575631426907146, -1.261454553263574, 18, -22, -26.69047619047619
1244, 174.631272272982, 10.91697357368382, 2.0, 175.6417796835164, 10.55061656705036, 1.0, 175.840409180221, -44.58912812666875, -16.0, 175.8110917432733, -6.961418624752735, -3.611470842063293, 74, 34, 44.76666666666666
1383, 195.5513609329087, 12.74724417138464, 5.0, 195.5656736453513, 12.29373142200352, 5.0, 195.9799626583481, -49.98550521705631, -15.0, 195.8105673565529, -7.106246777514113, -0.4149057215856624, 85, 45, 61.93095238095238
1501, 213.1580177461172, 16.48965460610431, 12.0, 213.1723304585598, 16.03614185672319, 12.0, 211.610725438613, -56.94476918008325, -24.0, 213.796528151271, -6.395462498803116, 2.263085027977827, 11, -29, -30.78095238095238
1615, 229.7223088474662, 20.31382252995002, 13.0, 229.7366215599088, 19.86030978056889, 13.0, 226.6591545697393, -65.98677762320417, -31.0, 230.793362264009, -6.06739216477769, 1.105777203504713, 10, -30, -34.11190476190476
1753, 249.5276702222976, 23.09728454915132, 8.000000000000002, 250.5322510034818, 22.78294490073026, 8.000000000000002, 245.3489074211145, -75.5096823457409, -27.0, 251.7865579905343, -6.601932329590553, -1.458581128115719, 11, -29, -35.78809523809524
1882, 269.500260917389, 24.1440036740102, 3.000000000000002, 269.5062121638187, 23.7773280693462, 3.000000000000002, 263.0419312093238, -83.01992536643324, -23.0, 270.7396880057564, -7.935672418997177, -4.025293522153169, 12, -28, -37.38809523809524
2005, 287.4975194302041, 23.8298603581391, -1.0, 288.5033183717901, 23.44573234703781, -1.0, 280.1378525747351, -88.90652316717308, -19.0, 289.6402898049288, -9.876613332348654, -5.86326613115539, 35, -5, -10.02619047619048
2155, 310.4659987295593, 22.62613336455139, -2.999999999999998, 310.4731681363907, 22.29434130969305, -2.999999999999998, 301.333672970175, -94.98432686293791, -16.0, 311.4983395971034, -12.37174043989494, -6.512205530458755, 90, 50, 61.35476190476191
2273, 327.4634095472179, 22.92282427398522, 1.000000000000002, 328.4704266492058, 22.60848462556415, 1.000000000000002, 317.9429239707535, -100.380999652702, -18.0, 329.4515271228303, -13.66906756366983, -4.133104091032879, 92, 52, 68.32380952380952
2392, 345.2417996779304, 25.73864464470937, 9.000000000000002, 346.2488167799183, 25.42430499628831, 9.000000000000002, 334.0933541887033, -108.2580907893549, -26.0, 347.4509580548432, -13.81219730795454, -0.4556009273953734, 12, -28, -31.45238095238096
2511, 362.9110889799883, 29.17320656148718, 11.0, 363.9181060819762, 28.85886691306612, 11.0, 349.4488506232052, -117.1235907893549, -30.0, 365.4509420156046, -13.83622671351457, -0.07648799620746161, 12, -28, -33.30000000000001
2635, 381.8070049919855, 31.15924736357259, 6.000000000000001, 381.8195001986051, 30.74037925188388, 6.000000000000001, 365.9864717338729, -126.6715907893549, -30.0, 383.4129010742068, -15.00585348180516, -3.725662592156946, 9, -31, -40.03571428571428
2762, 400.804111199957, 31.49084308588098, 1.000000000000001, 401.8164541017329, 31.08942738062956, 1.000000000000001, 383.679232535272, -135.3009268138979, -26.0, 403.2923409736789, -17.19853888634317, -6.294233287105333, 66, 26, 31.67857142857143
2911, 422.7739609645576, 32.64223412322574, 3.000000000000001, 422.787674331579, 32.18848246173138, 3.000000000000001, 404.0969735135841, -144.3914907866421, -24.0, 424.2333873471261, -18.77098182175754, -4.294226012406659, 58, 18, 23.1047619047619
3031, 440.6753550811866, 34.52374646204351, 6.000000000000002, 440.6890684482079, 34.06999480054914, 6.000000000000002, 419.3153564178096, -152.8271781789283, -29.0, 442.2006622722886, -19.85589276908254, -3.455473141049691, 74, 34, 45.99047619047619
3146, 458.3446443832445, 37.95830837882132, 11.0, 458.3583577502658, 37.50455671732695, 11.0, 433.9753179454956, -162.347468510991, -33.0, 460.1985059408697, -20.13450231902325, -0.8868771564310496, 88, 48, 67.56666666666667
3282, 477.2550158952308, 44.46967146796445, 19.0, 477.2687292622522, 44.01591980647008, 19.0, 449.6177118577015, -175.0144293420421, -39.0, 480.1647177253185, -18.97244079804435, 3.330937019313957, 89, 49, 73.51190476190476
3395, 492.4021268064331, 52.18750996353674, 27.0, 492.2788383408539, 51.99693637383023, 28.0, 459.8864815977449, -188.6415470499791, -53.00000000000001, 497.0679151325157, -17.16083449055932, 6.117344835710337, 20, -20, -12.12142857142857
3511, 507.1245586707686, 60.68750996353675, 30.0, 507.8672956089739, 60.99693637383023, 30.0, 468.5284815977449, -203.6099301289894, -60.0, 514.9793535636383, -15.37747436761538, 5.68593974624665, 11, -29, -25.10714285714286
3631, 523.1626761061592, 68.85933895884858, 27.0, 523.9054130443645, 69.16876536914207, 27.00000000000001, 478.9294696023008, -219.0300289785131, -56.00000000000001, 532.9219505724666, -13.94108563931701, 4.577033832381932, 22, -18, -13.46904761904762
